商品采价地区名称,商品主键,商品价格,商品采价日期,商品采价地区编码,主键ID
舟山市,0000000X0000007T000000070000000X,35.33,2018/7/5,330900,0569db38-3f84-455b-b4f4-68ad0c726d5a
舟山市,0000000J0000003S000000070000000X,34.33,2018/9/25,330900,9fdc3f60-9785-4e30-95a7-745c0f21bc62
舟山市,0000001K00000031000000070000000X,3.17,2018/3/25,330900,e4122781-bed7-4579-a344-6a17c7b4c307
丽水市,0000001700000031000000070000000X,2,2017/6/5,331100,8647d853-0124-4032-b72a-5fd41a1bd992
衢州市,0000001700000031000000070000000X,3,2017/5/15,330800,5c618cce-b0f5-47f7-b09e-4abb9f55c618
舟山市,0000000G0000003F0000000700000010,9.8,2018/7/24,330900,39073c2c-2ec5-48c6-bca1-775bac1e9a42
宁波市,0000002200000038000000070000000X,3.83,2017/11/15,330200,ea460db2-6b29-463e-b141-512874d57618
金华市,0000000G0000003F0000000700000010,11.8,2018/10/9,330700,9fed53f3-9f73-48c3-9d4d-c87c133529d1
湖州市,0000002U0000007X000000070000000X,3.87,2018/4/5,330500,ba839f28-7cf6-4467-9d97-ca63c27c7002
金华市,0000001E00000031000000070000000X,8.5,2018/10/5,330700,21597b88-4618-48ed-b12e-57a150fa6665
金华市,0000002U0000007X000000070000000X,4,2017/9/25,330700,4df62c95-d2e6-4ed3-b671-894ba8095d6d
杭州市,0000000X0000007T000000070000000X,40,2018/11/25,330100,d35759fb-556a-4d4f-a38f-841d380ea0f6
浙江省,0000000P0000003E0000000700000010,4.75,2018/11/20,330000,f73b0872-72cf-4972-98ff-fb67e0d41a2d
丽水市,0000002200000038000000070000000X,3,2017/3/5,331100,d2f5c213-a801-4a1b-82ba-3e67c17cfc48
温州市,0000000C0000002Q000000030000000X,60,2017/2/15,330300,83c76aab-cbad-4ace-8929-40c59b9cd228
金华市,0000001500000031000000070000000X,4,2018/9/5,330700,1d8bed2c-70a2-4411-a11c-ce171044a7ba
温州市,0000000J0000003S000000070000000X,42.67,2018/8/15,330300,ba0138bb-ddd7-4b41-bf48-6e1b7d4ad5e2
绍兴市,0000001200000031000000070000000X,5.5,2017/2/15,330600,08900223-b5e8-4cb9-822b-2b1a9b2f2ecb
宁波市,0000000S0000002Z000000070000000X,10.17,2019/1/15,330200,685afbf5-591b-49ba-beea-3cb6a4f49ed7
衢州市,0000000S0000002Z000000070000000X,8.17,2017/2/15,330800,3d231ff5-0a7e-4d63-86a0-675e1893b102
宁波市,0000001200000031000000070000000X,5.67,2018/10/5,330200,2e122284-1109-4a30-b429-05fc4858b668
舟山市,0000000J0000003Q000000070000000X,41.67,2018/7/5,330900,0d263ff2-421f-4ebb-b91d-ab40b5e56d8f
浙江省,0000001K00000031000000070000000X,3.72,2018/3/5,330000,9af28561-c7ae-41a3-a5ba-55dfd2ef397a
嘉兴市,0000002U0000007X000000070000000X,3.73,2017/3/15,330400,2cbad6af-cf04-49a8-9067-23af9aa7c816
舟山市,0000002P0000007W000000070000000X,3.1,2017/8/15,330900,34f6e2b4-ce41-4ccd-9325-b4081e8d2d40
衢州市,0000000S0000002Z000000070000000X,7.83,2017/1/5,330800,2e772879-d26d-41ee-8930-04bd31f8c7ac
嘉兴市,0000001K00000031000000070000000X,3.17,2018/3/25,330400,df330f04-43e6-4e56-af5a-4128f0642a0b
衢州市,0000001700000031000000070000000X,2.83,2017/5/25,330800,e88fa73d-e8e6-4aa8-bec1-a8ad2c8ba30f
衢州市,0000002U0000007X000000070000000X,4.33,2017/2/25,330800,c9169eeb-1923-45fd-86a4-55cf76d3b100
绍兴市,0000000G0000003F0000000700000010,10.12,2017/4/25,330600,b03ae3c1-1b4d-4dcb-baa6-f73a8e96ff48
衢州市,0000000H0000002T000000070000000X,18.33,2017/10/25,330800,6aaf05b1-90b9-46fb-872c-02d354e7ea53
丽水市,0000000H0000003N000000070000000X,15.33,2017/2/5,331100,af4f1a91-d491-40b2-8908-5ce8222f9eea
杭州市,0000000P0000003E0000000700000010,5.1,2018/9/4,330100,e8125f88-78e1-4c3f-b8da-09ea1d86180f
舟山市,0000001500000031000000070000000X,4.33,2017/4/15,330900,bdcb35c4-4336-4827-9a95-9543d6abf658
衢州市,0000001500000031000000070000000X,3.5,2018/3/25,330800,84a8bcaa-d1e3-4308-a2c9-0b4f8c7b31aa
台州市,0000000J0000003Q000000070000000X,38.33,2017/9/5,331000,2057939c-c21a-4ae4-a4ef-39142eac287e
浙江省,0000001200000031000000070000000X,6.59,2019/2/15,330000,bfa247ed-8201-4545-9ec6-6697e39caf24
衢州市,0000000X0000007T000000070000000X,26.67,2017/6/15,330800,79ee28dc-a2a2-4f77-9c80-300520464c47
温州市,0000000J0000003S000000070000000X,43.33,2017/9/5,330300,035880c1-bb81-46f5-965f-3b23fbf8915a
湖州市,0000001Z00000036000000070000000X,5.67,2017/9/15,330500,7c4d28a5-1f36-4e11-999f-34f1e15a985e
绍兴市,0000001K00000031000000070000000X,2.5,2017/3/25,330600,73fd1004-c9a5-4f88-8383-9fef7494d4e0
宁波市,0000001400000031000000070000000X,4.77,2017/6/25,330200,ef23e2e4-5cd0-4e9d-ae16-399c9abd9617
湖州市,0000002200000038000000070000000X,4.5,2018/11/25,330500,4dad9833-3add-45d8-b564-4373e41e6e57
杭州市,0000000J0000003Q000000070000000X,41.83,2017/1/25,330100,8d6dc7f5-e910-4bd3-ab8d-6db72f12964c
衢州市,0000001400000031000000070000000X,4.83,2017/12/5,330800,e1445756-ca63-4db0-86c2-9430ba5b1908
嘉兴市,0000002U0000007X000000070000000X,3.73,2016/12/25,330400,f48fb705-9cb2-497e-a2cb-623415bd9413
舟山市,0000001E00000031000000070000000X,2.5,2018/12/15,330900,2b8048ba-9dcc-4c3f-8e32-5b7db8267d4f
宁波市,0000000M0000003V000000070000000X,13.87,2019/3/5,330200,f149811c-a831-4a5e-9aaf-6466fa10861b
浙江省,0000000Z00000031000000070000000X,3.51,2017/1/25,330000,b642a0e9-89b7-486c-973e-275e1dfa3a5d
杭州市,0000001200000031000000070000000X,4.17,2018/4/25,330100,114bc9a2-9a60-4be2-bbfd-7077326db94b
金华市,0000001500000031000000070000000X,4.17,2018/3/5,330700,cff0c5be-fe7f-4384-9ba6-7991ab6f716f
湖州市,0000001Z00000036000000070000000X,5.67,2018/10/15,330500,88ffe473-97f2-4e79-a118-8b991ae72f3a
舟山市,0000000J0000003S000000070000000X,34.33,2018/4/25,330900,36181642-a929-4d21-b381-8e1132245990
宁波市,0000000H0000003P000000070000000X,25.4,2018/7/15,330200,3b3dfd56-cfea-476f-85ad-e4446a97922d
浙江省,0000002200000038000000070000000X,3.33,2017/4/25,330000,97291f6e-ea6f-4163-8500-6f9fc8a22312
湖州市,0000000J0000003S000000070000000X,34.67,2018/6/15,330500,e034b955-8826-4197-bc4c-f13990a03b8f
嘉兴市,0000000J0000003S000000070000000X,32.33,2017/9/25,330400,7b60b70b-f17e-433c-bf7c-a7e2a0e922de
金华市,0000001A00000031000000070000000X,5.67,2017/8/5,330700,67f0e2fe-f023-4e3c-84e8-2f522b731b33
嘉兴市,0000000D0000002R000000030000000X,38.33,2018/1/5,330400,9285dfd8-767b-44f0-a333-125e21eda2e6
金华市,0000002U0000007X000000070000000X,4.07,2018/10/25,330700,254ec123-b10b-47f7-baef-4b611d779574
舟山市,0000000P0000003E0000000700000010,4,2017/2/7,330900,8b875cd1-4e9b-464b-af9c-eca1a0b7b2ef
宁波市,0000000H0000002T000000070000000X,16.5,2018/11/15,330200,43693c4b-aad0-4bae-8aff-2c2ad1e694f6
台州市,0000000C0000002Q000000030000000X,63.33,2017/1/25,331000,1a7a50b6-1305-430f-9077-126e64859dcf
杭州市,0000000C0000002Q000000030000000X,61.67,2017/4/25,330100,54540646-6afd-483c-907a-623b28f2653e
温州市,0000002P0000007W000000070000000X,2.5,2019/3/15,330300,c960c793-e322-45a9-8186-e31e41316f01
台州市,0000000H0000002T000000070000000X,11.67,2018/6/25,331000,3934d671-c22b-416e-a45e-fe9728e91a46
衢州市,0000000G0000003F0000000700000010,10.5,2017/4/18,330800,6431bda3-0f07-4251-996d-8cfa62c16dcc
丽水市,0000000D0000002R000000030000000X,54.6,2017/7/5,331100,f04b0f0a-b0ce-4400-a91e-c3b2f5211c83
湖州市,0000001A00000031000000070000000X,9.33,2018/1/5,330500,d07ea39b-1779-44f7-8065-09480571cf21
台州市,0000002200000038000000070000000X,2.67,2017/4/15,331000,71b6f219-5e14-43a9-9a73-45380286a7c4
金华市,0000001200000031000000070000000X,4.33,2018/8/25,330700,6b09faad-8512-4e2f-a83e-82c2d498529a
嘉兴市,0000000H0000002T000000070000000X,18.67,2018/10/5,330400,ad7335c3-bf7e-49f7-ac6c-354563554e7c
台州市,0000001200000031000000070000000X,2.83,2018/6/15,331000,74c66cfc-8259-4e2f-9dc8-07cf4fbc7224
丽水市,0000002200000038000000070000000X,3,2017/10/25,331100,107d0399-490a-4366-9bab-8e2cad99d8e2
宁波市,0000000G0000003F0000000700000010,12,2019/2/5,330200,3ffc7cfb-7b2b-461e-ad4e-4e053d6644a6
丽水市,0000000P0000002W000000070000000X,5.53,2018/3/5,331100,bdd95a38-9603-4a44-8be4-c1f36f2d9553
浙江省,0000000J0000003Q000000070000000X,42.82,2018/12/5,330000,705f7b7e-7701-4ede-8991-b211fd925ec5
丽水市,0000000J0000003Q000000070000000X,39,2018/5/15,331100,b5fbaa03-2a04-40e5-9187-710fc4c047ce
浙江省,0000003100000081000000130000000X,91.21,2017/1/15,330000,f14f2351-1ab4-4aba-ae80-6424cc025cd2
温州市,0000000P0000003E0000000700000010,3.8,2017/1/10,330300,6a2b471e-05e3-4949-a4bd-93f66e0a132c
嘉兴市,0000001200000031000000070000000X,4,2017/10/5,330400,149d5e75-932c-40ee-a653-b3301a46c919
宁波市,0000000Z00000031000000070000000X,6,2018/11/25,330200,e237dfe8-bfe7-4f36-a194-3eeeeec9119b
温州市,0000002200000038000000070000000X,3.33,2018/4/5,330300,965bc99f-a78a-4cf4-9631-87f9e0e55736
杭州市,0000002P0000007W000000070000000X,2.87,2017/11/5,330100,79d7b28f-a45a-46d1-9e97-51ec80a27686
杭州市,0000000X0000007T000000070000000X,39.17,2017/6/25,330100,7f79d624-0161-4be0-900e-0a39277c5fa8
湖州市,0000000J0000003S000000070000000X,34.67,2018/8/25,330500,fae69ec7-1b28-4e1e-80eb-80c69f0a062e
绍兴市,0000002P0000007W000000070000000X,2.33,2017/9/25,330600,15f1c4f2-c2ee-4cbc-a341-5add8bb3eae3
台州市,0000000H0000003N000000070000000X,12.33,2017/10/5,331000,f944a25a-3f16-46fc-9b3a-90659eb60f36
绍兴市,0000000S0000002Z000000070000000X,6.83,2017/1/15,330600,95def074-5c66-4f03-be98-5d7a59c9b070
舟山市,0000000C0000002Q000000030000000X,50.3,2018/3/5,330900,6981a9c7-c8e3-4596-8edc-82aacd9f7010
温州市,0000001E00000031000000070000000X,3,2017/3/5,330300,47fa7c75-1a67-4b97-9a30-a7ff9d383a5f
衢州市,0000001700000031000000070000000X,2.5,2018/9/5,330800,74ff41ea-ce42-4f3a-80f0-63dd0a74285b
杭州市,0000000D0000002R000000030000000X,46.67,2019/2/25,330100,e3ed8a49-2d29-4a8e-ba42-39d8d82b310b
温州市,0000002U0000007X000000070000000X,3.83,2017/5/15,330300,39578cf5-016d-4bf5-8003-bca9d4f2c503
浙江省,0000001A00000031000000070000000X,5.37,2017/10/25,330000,43dc3b85-be3d-4888-9368-1555faaa1635
宁波市,0000001200000031000000070000000X,4.8,2017/3/15,330200,c3cdba95-8250-42ff-a5c8-2da7458cd712
杭州市,0000000S0000002Z000000070000000X,8.67,2019/3/15,330100,27f988b2-aae3-4fe6-ad96-d30247c6cd14
衢州市,0000001A00000031000000070000000X,8,2016/12/25,330800,2dc9937f-6e58-40e0-9ed3-a1ae095e9e20
湖州市,0000001E00000031000000070000000X,5.5,2017/7/5,330500,29f5a07f-d5b4-483c-aeaf-5ce66018fe8d
