,商品采价地区名称,商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
0,丽水市,黄瓜,2016-12,331100,70.66,1478,52217.74
1,丽水市,黄瓜,2017-01,331100,105.99,1329,46953.56999999999
2,丽水市,黄瓜,2017-02,331100,102.99,2328,79920.23999999999
3,丽水市,黄瓜,2017-03,331100,137.32,2810,96467.3
4,丽水市,黄瓜,2017-04,331100,205.98,3116,106972.28
5,丽水市,黄瓜,2017-05,331100,137.32,2952,101342.16
6,丽水市,黄瓜,2017-06,331100,102.99,1342,46070.86
7,丽水市,黄瓜,2017-07,331100,102.99,2229,76521.56999999999
8,丽水市,黄瓜,2017-08,331100,102.99,2517,86408.61
9,丽水市,黄瓜,2017-09,331100,102.99,2074,71200.42
10,丽水市,黄瓜,2017-10,331100,102.99,1020,35016.6
11,丽水市,黄瓜,2017-11,331100,102.99,1873,64300.09
12,丽水市,黄瓜,2017-12,331100,102.33,1476,50331.51
13,丽水市,黄瓜,2018-01,331100,108.0,1918,69048.0
14,丽水市,黄瓜,2018-02,331100,116.33,1785,68708.35
15,丽水市,黄瓜,2018-03,331100,109.67,2090,75634.12
16,丽水市,黄瓜,2018-04,331100,108.0,845,30420.0
17,丽水市,黄瓜,2018-05,331100,108.0,1782,64152.0
18,丽水市,黄瓜,2018-06,331100,108.0,1925,69300.0
19,丽水市,黄瓜,2018-07,331100,108.0,568,20448.0
20,丽水市,黄瓜,2018-08,331100,108.0,1856,66816.0
21,丽水市,黄瓜,2018-09,331100,108.0,1194,42984.0
22,丽水市,黄瓜,2018-10,331100,117.99,1763,69338.79
23,丽水市,黄瓜,2018-11,331100,117.99,1268,49870.44
24,丽水市,黄瓜,2018-12,331100,117.99,1562,61433.46
25,丽水市,黄瓜,2019-01,331100,118.99,2219,87929.26999999999
26,丽水市,黄瓜,2019-02,331100,121.66,673,27375.25
27,丽水市,黄瓜,2019-03,331100,79.66,540,21600.2
28,丽水市,菠菜,2016-12,331100,9.34,1581,7383.27
29,丽水市,菠菜,2017-01,331100,17.17,1026,5731.440000000001
30,丽水市,菠菜,2017-02,331100,18.5,1392,8700.11
31,丽水市,菠菜,2017-03,331100,26.83,2009,13294.83
32,丽水市,菠菜,2017-04,331100,35.0,2738,15180.43
33,丽水市,菠菜,2017-05,331100,17.83,1412,6283.83
34,丽水市,菠菜,2017-06,331100,11.17,1220,4717.9
35,丽水市,菠菜,2017-07,331100,13.83,1304,5804.31
36,丽水市,菠菜,2017-08,331100,14.01,1720,8082.4
37,丽水市,菠菜,2017-09,331100,12.5,807,3293.8
38,丽水市,菠菜,2017-10,331100,13.83,1574,7037.18
39,丽水市,菠菜,2017-11,331100,13.99,919,4349.77
40,丽水市,菠菜,2017-12,331100,14.83,1488,7395.12
41,丽水市,菠菜,2018-01,331100,16.0,1695,8953.74
42,丽水市,菠菜,2018-02,331100,25.33,1679,15672.87
43,丽水市,菠菜,2018-03,331100,22.83,1766,13358.9
44,丽水市,菠菜,2018-04,331100,18.16,1829,11376.07
45,丽水市,菠菜,2018-05,331100,12.51,720,3068.9
46,丽水市,菠菜,2018-06,331100,14.33,1897,8715.79
47,丽水市,菠菜,2018-07,331100,10.67,1563,5343.13
48,丽水市,菠菜,2018-08,331100,13.34,2044,9032.49
49,丽水市,菠菜,2018-09,331100,14.0,2299,10843.0
50,丽水市,菠菜,2018-10,331100,14.83,362,1787.05
51,丽水市,菠菜,2018-11,331100,13.33,1243,5660.31
52,丽水市,菠菜,2018-12,331100,15.33,1454,7690.780000000002
53,丽水市,菠菜,2019-01,331100,18.5,1499,9460.47
54,丽水市,菠菜,2019-02,331100,23.83,1382,11247.37
55,丽水市,菠菜,2019-03,331100,19.67,518,4685.38
56,丽水市,韭菜,2016-12,331100,143.16000000000003,641,46305.33
57,丽水市,韭菜,2017-01,331100,210.69,2157,151486.11000000002
58,丽水市,韭菜,2017-02,331100,210.69,1756,123323.88
59,丽水市,韭菜,2017-03,331100,280.92,1790,125711.7
60,丽水市,韭菜,2017-04,331100,421.38,2562,179929.26
61,丽水市,韭菜,2017-05,331100,280.92,2748,192992.04
62,丽水市,韭菜,2017-06,331100,210.69,2105,147834.15000000002
63,丽水市,韭菜,2017-07,331100,210.69,2213,155418.99
64,丽水市,韭菜,2017-08,331100,210.69,1176,82590.48000000001
65,丽水市,韭菜,2017-09,331100,210.69,1420,99726.6
66,丽水市,韭菜,2017-10,331100,210.69,1660,116581.8
67,丽水市,韭菜,2017-11,331100,210.69,2357,165532.11000000002
68,丽水市,韭菜,2017-12,331100,210.69,2642,185547.66
69,丽水市,韭菜,2018-01,331100,210.69,2098,147342.54
70,丽水市,韭菜,2018-02,331100,210.69,1337,93897.51
71,丽水市,韭菜,2018-03,331100,210.69,1371,96285.33
72,丽水市,韭菜,2018-04,331100,210.69,1852,130065.96
73,丽水市,韭菜,2018-05,331100,210.69,1279,89824.17000000001
74,丽水市,韭菜,2018-06,331100,210.69,2068,145235.64
75,丽水市,韭菜,2018-07,331100,210.69,2050,143971.5
76,丽水市,韭菜,2018-08,331100,210.69,991,69597.93
77,丽水市,韭菜,2018-09,331100,210.69,1508,105906.84
78,丽水市,韭菜,2018-10,331100,210.69,1494,104923.62
79,丽水市,韭菜,2018-11,331100,210.69,968,67982.64
80,丽水市,韭菜,2018-12,331100,210.69,985,69176.55
81,丽水市,韭菜,2019-01,331100,210.69,1145,80413.35
82,丽水市,韭菜,2019-02,331100,210.69,1447,101622.81
83,丽水市,韭菜,2019-03,331100,140.46,797,55973.31
84,丽水市,胡萝卜,2016-12,331100,4.34,1035,2245.95
85,丽水市,胡萝卜,2017-01,331100,6.83,1088,2407.68
86,丽水市,胡萝卜,2017-02,331100,7.33,2060,5025.9
87,丽水市,胡萝卜,2017-03,331100,10.34,1602,4269.52
88,丽水市,胡萝卜,2017-04,331100,17.66,2946,8665.62
89,丽水市,胡萝卜,2017-05,331100,9.67,1656,3995.46
90,丽水市,胡萝卜,2017-06,331100,6.17,1634,3402.64
91,丽水市,胡萝卜,2017-07,331100,6.67,1014,2232.38
92,丽水市,胡萝卜,2017-08,331100,6.83,1264,2816.48
