商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,331100,9.32,340,1584.4
商品1,2017-01,331100,13.98,2156,10046.96
商品1,2017-02,331100,13.98,1520,7083.200000000001
商品1,2017-03,331100,18.64,2409,11225.94
商品1,2017-04,331100,27.96,4114,19171.24
商品1,2017-05,331100,18.64,1770,8248.2
商品1,2017-06,331100,13.98,1567,7302.22
商品1,2017-07,331100,13.98,1439,6705.740000000001
商品1,2017-08,331100,13.98,1420,6617.200000000001
商品1,2017-09,331100,13.98,1116,5200.56
商品1,2017-10,331100,13.98,900,4194.0
商品1,2017-11,331100,13.98,1884,8779.439999999999
商品1,2017-12,331100,13.98,2386,11118.76
商品1,2018-01,331100,13.98,1900,8854.0
商品1,2018-02,331100,13.98,1543,7190.38
商品1,2018-03,331100,11.98,1687,6799.42
商品1,2018-04,331100,10.98,2618,9581.880000000001
商品1,2018-05,331100,10.98,2123,7770.18
商品1,2018-06,331100,10.98,842,3081.7200000000003
商品1,2018-07,331100,10.98,1622,5936.52
商品1,2018-08,331100,10.98,1723,6306.18
商品1,2018-09,331100,10.98,2028,7422.4800000000005
商品1,2018-10,331100,10.98,1871,6847.860000000001
商品1,2018-11,331100,10.98,1556,5694.96
商品1,2018-12,331100,10.98,1239,4534.74
商品1,2019-01,331100,10.98,1244,4553.04
商品1,2019-02,331100,10.98,1945,7118.7
商品1,2019-03,331100,7.32,1018,3725.88
商品10,2016-12,331100,9.34,1592,7434.639999999999
商品10,2017-01,331100,17.17,1791,10448.81
商品10,2017-02,331100,18.5,1969,12260.009999999998
商品10,2017-03,331100,26.83,1393,9485.61
商品10,2017-04,331100,35.0,3815,22148.71
商品10,2017-05,331100,17.83,3033,13124.69
商品10,2017-06,331100,11.17,552,2108.08
商品10,2017-07,331100,13.83,2080,9593.6
商品10,2017-08,331100,14.01,1973,9197.41
商品10,2017-09,331100,12.5,1388,6003.360000000001
商品10,2017-10,331100,13.83,1783,8455.39
商品10,2017-11,331100,13.99,1156,5307.48
商品10,2017-12,331100,14.83,1085,5385.9
商品10,2018-01,331100,16.0,1508,7859.110000000001
商品10,2018-02,331100,25.33,1648,12806.21
商品10,2018-03,331100,22.83,747,5549.43
商品10,2018-04,331100,18.16,1153,6375.51
商品10,2018-05,331100,12.51,648,2641.16
商品10,2018-06,331100,14.33,1831,8459.630000000001
商品10,2018-07,331100,10.67,1080,3618.06
商品10,2018-08,331100,13.34,1244,5572.61
商品10,2018-09,331100,14.0,2046,9380.0
商品10,2018-10,331100,14.83,2559,12645.060000000001
商品10,2018-11,331100,13.33,2591,11549.17
商品10,2018-12,331100,15.33,2163,11045.130000000001
商品10,2019-01,331100,18.5,1227,7493.62
商品10,2019-02,331100,23.83,933,7644.96
商品10,2019-03,331100,19.67,1095,11332.95
商品11,2016-12,331100,31.34,752,11783.84
商品11,2017-01,331100,49.0,2076,33817.49
商品11,2017-02,331100,47.33,686,10678.7
商品11,2017-03,331100,59.51,1727,25788.39
商品11,2017-04,331100,86.66,3767,53963.11
商品11,2017-05,331100,56.68,1698,24060.66
商品11,2017-06,331100,42.0,812,11368.0
商品11,2017-07,331100,42.0,1136,15904.0
商品11,2017-08,331100,42.34,2359,33278.62
商品11,2017-09,331100,42.34,674,9542.42
商品11,2017-10,331100,42.0,1908,26712.0
商品11,2017-11,331100,42.0,715,10010.0
商品11,2017-12,331100,42.0,1699,23786.0
商品11,2018-01,331100,42.51,1947,27588.989999999998
商品11,2018-02,331100,44.67,442,6685.62
商品11,2018-03,331100,40.33,1378,18310.05
商品11,2018-04,331100,36.01,1149,13717.83
商品11,2018-05,331100,35.5,1718,20289.83
商品11,2018-06,331100,35.01,848,9896.16
商品11,2018-07,331100,36.01,1362,16319.54
商品11,2018-08,331100,38.83,1657,21359.61
商品11,2018-09,331100,48.33,1697,28402.509999999995
商品11,2018-10,331100,56.34,1560,29127.18
商品11,2018-11,331100,54.0,840,14879.44
商品11,2018-12,331100,51.5,1373,23731.730000000003
商品11,2019-01,331100,50.33,1392,23280.629999999997
商品11,2019-02,331100,51.0,1074,18171.57
商品11,2019-03,331100,31.159999999999997,968,14874.439999999999
商品12,2016-12,331100,143.16000000000003,1577,113425.71000000002
商品12,2017-01,331100,210.69,1877,131821.71000000002
商品12,2017-02,331100,210.69,1423,99937.29000000001
商品12,2017-03,331100,280.92,1004,70510.92000000001
商品12,2017-04,331100,421.38,2446,171782.58000000002
商品12,2017-05,331100,280.92,3263,229160.49000000002
商品12,2017-06,331100,210.69,1339,94037.97
商品12,2017-07,331100,210.69,1489,104572.47000000002
商品12,2017-08,331100,210.69,1396,98041.08000000002
商品12,2017-09,331100,210.69,1046,73460.58
商品12,2017-10,331100,210.69,1683,118197.09000000001
商品12,2017-11,331100,210.69,1715,120444.45000000001
商品12,2017-12,331100,210.69,1551,108926.73000000001
商品12,2018-01,331100,210.69,1224,85961.52
商品12,2018-02,331100,210.69,1254,88068.42
商品12,2018-03,331100,210.69,2125,149238.75
商品12,2018-04,331100,210.69,1180,82871.40000000001
商品12,2018-05,331100,210.69,1605,112719.15
商品12,2018-06,331100,210.69,2598,182457.54
商品12,2018-07,331100,210.69,1504,105625.92000000001
商品12,2018-08,331100,210.69,2087,146570.01
商品12,2018-09,331100,210.69,1394,97900.62000000001
商品12,2018-10,331100,210.69,1662,116722.26000000001
商品12,2018-11,331100,210.69,715,50214.45
商品12,2018-12,331100,210.69,1751,122972.73000000001
商品12,2019-01,331100,210.69,2144,150573.12
商品12,2019-02,331100,210.69,1179,82801.17000000001
商品12,2019-03,331100,140.46,910,63909.3
商品13,2016-12,331100,77.34,1038,40139.46000000001
商品13,2017-01,331100,121.0,957,38209.7
商品13,2017-02,331100,114.0,2292,87175.06
商品13,2017-03,331100,149.32,3088,115275.04
商品13,2017-04,331100,223.98,3251,121359.82999999999
商品13,2017-05,331100,149.32,2246,83843.18
商品13,2017-06,331100,111.99,890,33223.7
商品13,2017-07,331100,111.99,1312,48976.96
商品13,2017-08,331100,111.99,1095,40876.35
商品13,2017-09,331100,111.99,1884,70329.72
商品13,2017-10,331100,111.99,1785,66634.05
商品13,2017-11,331100,111.99,2073,77385.09
商品13,2017-12,331100,111.99,1865,69620.45
商品13,2018-01,331100,116.0,1765,67847.0
商品13,2018-02,331100,127.0,1740,75258.16
商品13,2018-03,331100,120.0,1585,63218.520000000004
商品13,2018-04,331100,117.33,298,11642.79
商品13,2018-05,331100,117.0,330,12870.0
商品13,2018-06,331100,116.67,1364,52946.850000000006
商品13,2018-07,331100,116.01,985,38089.950000000004
商品13,2018-08,331100,116.01,2527,97719.09
商品13,2018-09,331100,116.01,1296,50116.32000000001
商品13,2018-10,331100,128.01,2048,87388.16
商品13,2018-11,331100,128.01,1242,52996.14
商品13,2018-12,331100,128.67000000000002,1248,53391.42
商品13,2019-01,331100,130.32999999999998,2271,98549.31
商品13,2019-02,331100,129.67000000000002,1738,75067.16
商品13,2019-03,331100,84.34,892,37479.64
商品14,2016-12,331100,168.0,728,61152.0
商品14,2017-01,331100,252.0,1878,157752.0
商品14,2017-02,331100,252.0,838,70392.0
商品14,2017-03,331100,336.0,1304,109536.0
商品14,2017-04,331100,504.0,4383,368172.0
商品14,2017-05,331100,336.0,2269,190596.0
商品14,2017-06,331100,252.0,2335,196140.0
商品14,2017-07,331100,252.0,1221,102564.0
商品14,2017-08,331100,252.0,2006,168504.0
商品14,2017-09,331100,252.0,1509,126756.0
商品14,2017-10,331100,252.0,551,46284.0
商品14,2017-11,331100,252.0,2265,190260.0
商品14,2017-12,331100,252.0,951,79884.0
商品14,2018-01,331100,252.0,1839,154476.0
商品14,2018-02,331100,252.0,2147,180348.0
商品14,2018-03,331100,252.0,1478,124152.0
商品14,2018-04,331100,252.0,2169,182196.0
商品14,2018-05,331100,252.0,1066,89544.0
商品14,2018-06,331100,252.0,1789,150276.0
商品14,2018-07,331100,252.0,1012,85008.0
商品14,2018-08,331100,252.0,1154,96936.0
商品14,2018-09,331100,252.0,1021,85764.0
商品14,2018-10,331100,252.0,2109,177156.0
商品14,2018-11,331100,252.0,1509,126756.0
商品14,2018-12,331100,252.0,1865,156660.0
商品14,2019-01,331100,252.0,1507,126588.0
商品14,2019-02,331100,252.0,1317,110628.0
商品14,2019-03,331100,168.0,759,63756.0
商品15,2016-12,331100,75.34,1119,42152.729999999996
商品15,2017-01,331100,108.34,1441,52063.57000000001
商品15,2017-02,331100,99.33,745,24469.17
商品15,2017-03,331100,130.68,2808,91737.36
商品15,2017-04,331100,200.02,3508,116638.36000000002
商品15,2017-05,331100,134.68,1043,35117.810000000005
商品15,2017-06,331100,100.01,416,13891.720000000001
商品15,2017-07,331100,101.01,1509,50808.03
商品15,2017-08,331100,101.01,1243,41851.810000000005
商品15,2017-09,331100,101.01,964,32457.880000000005
商品15,2017-10,331100,101.01,1735,58417.450000000004
商品15,2017-11,331100,101.01,1142,38451.14
商品15,2017-12,331100,101.01,853,28720.51
商品15,2018-01,331100,107.33,1046,37582.3
商品15,2018-02,331100,119.67,718,28472.88
商品15,2018-03,331100,112.67,1528,58470.98
商品15,2018-04,331100,109.67,724,26386.559999999998
商品15,2018-05,331100,109.33,1674,60968.06
商品15,2018-06,331100,110.01,1361,49907.87
商品15,2018-07,331100,111.67,1382,51471.52
商品15,2018-08,331100,112.33,1532,57517.66
商品15,2018-09,331100,113.01,1174,44224.58
商品15,2018-10,331100,116.01,749,28963.83
商品15,2018-11,331100,125.34,2114,88731.78
商品15,2018-12,331100,130.0,788,34022.0
商品15,2019-01,331100,132.0,1637,72028.0
商品15,2019-02,331100,133.32999999999998,1838,81474.6
商品15,2019-03,331100,88.66,561,24869.13
商品16,2016-12,331100,8.66,728,3152.24
商品16,2017-01,331100,15.33,2213,11269.76
商品16,2017-02,331100,15.17,2440,12288.91
商品16,2017-03,331100,20.0,1551,7679.01
商品16,2017-04,331100,28.98,3011,14543.130000000001
商品16,2017-05,331100,18.0,2201,9904.5
商品16,2017-06,331100,12.66,1847,7940.42
商品16,2017-07,331100,12.5,1872,7860.5
商品16,2017-08,331100,12.5,1084,4460.77
商品16,2017-09,331100,13.67,1641,7430.23
商品16,2017-10,331100,13.67,2297,10409.94
商品16,2017-11,331100,13.33,548,2440.38
商品16,2017-12,331100,13.33,1211,5428.93
商品16,2018-01,331100,12.51,2080,8673.599999999999
商品16,2018-02,331100,14.0,1296,6006.79
商品16,2018-03,331100,11.83,1335,5180.87
商品16,2018-04,331100,11.49,1692,6480.360000000001
商品16,2018-05,331100,11.66,1856,7214.22
商品16,2018-06,331100,11.0,892,3531.0
商品16,2018-07,331100,11.84,1364,5470.76
商品16,2018-08,331100,12.99,2688,11652.54
商品16,2018-09,331100,14.49,1430,6906.900000000001
商品16,2018-10,331100,18.17,1334,8135.92
商品16,2018-11,331100,16.5,683,3664.16
商品16,2018-12,331100,14.83,895,4372.49
商品16,2019-01,331100,15.0,1969,9804.029999999999
商品16,2019-02,331100,16.5,921,5128.74
商品16,2019-03,331100,11.67,1211,7017.51
商品17,2016-12,331100,8.83,1514,6710.32
商品17,2017-01,331100,14.99,1764,8668.619999999999
商品17,2017-02,331100,14.83,1444,7064.96
商品17,2017-03,331100,19.66,2534,12463.96
商品17,2017-04,331100,28.98,3315,16011.45
商品17,2017-05,331100,18.32,1773,7783.59
商品17,2017-06,331100,11.5,1418,5458.27
商品17,2017-07,331100,12.0,2235,8940.0
商品17,2017-08,331100,12.83,1620,6886.4400000000005
商品17,2017-09,331100,13.16,2445,10749.029999999999
商品17,2017-10,331100,14.17,1611,7594.73
商品17,2017-11,331100,13.0,718,3097.56
商品17,2017-12,331100,13.84,1733,8053.67
商品17,2018-01,331100,15.5,633,3386.4700000000003
商品17,2018-02,331100,19.5,1635,10325.58
商品17,2018-03,331100,18.0,1303,7821.0
商品17,2018-04,331100,16.17,1215,6520.73
商品17,2018-05,331100,14.66,1317,6412.45
商品17,2018-06,331100,15.16,1855,9521.939999999999
商品17,2018-07,331100,13.49,701,3078.83
商品17,2018-08,331100,14.0,594,2771.65
商品17,2018-09,331100,16.17,1755,9368.7
商品17,2018-10,331100,18.0,2543,15355.67
商品17,2018-11,331100,16.66,2122,11629.24
商品17,2018-12,331100,15.0,999,5156.7
商品17,2019-01,331100,16.0,1227,6363.0
商品17,2019-02,331100,19.67,1309,9144.39
商品17,2019-03,331100,14.0,8,56.0
商品18,2016-12,331100,11.0,581,3166.09
商品18,2017-01,331100,16.33,2300,12515.7
商品18,2017-02,331100,14.66,2112,10367.22
商品18,2017-03,331100,19.32,1840,8929.7
商品18,2017-04,331100,28.64,3296,15734.38
商品18,2017-05,331100,19.66,2552,12526.76
商品18,2017-06,331100,17.66,1974,11182.71
商品18,2017-07,331100,18.32,2067,12704.220000000001
商品18,2017-08,331100,16.98,1219,6899.54
商品18,2017-09,331100,16.98,1752,9916.32
商品18,2017-10,331100,16.98,1280,7244.8
商品18,2017-11,331100,15.66,1089,5637.06
商品18,2017-12,331100,15.48,1384,7141.4400000000005
商品18,2018-01,331100,14.49,1630,7740.469999999999
商品18,2018-02,331100,15.99,1812,9675.3
商品18,2018-03,331100,16.09,2260,12147.38
商品18,2018-04,331100,15.65,2700,14086.53
商品18,2018-05,331100,14.49,1636,7879.610000000001
商品18,2018-06,331100,14.49,1193,5762.1900000000005
商品18,2018-07,331100,14.83,776,3843.62
商品18,2018-08,331100,15.16,1739,8718.52
商品18,2018-09,331100,15.36,1876,9611.82
商品18,2018-10,331100,15.42,1274,6556.080000000001
商品18,2018-11,331100,17.29,1481,8632.939999999999
商品18,2018-12,331100,18.78,1624,10166.24
商品18,2019-01,331100,19.259999999999998,1896,12134.64
商品18,2019-02,331100,19.7,1571,10314.5
商品18,2019-03,331100,13.2,1334,8804.4
商品19,2016-12,331100,5.66,1346,3809.1800000000003
商品19,2017-01,331100,12.34,1418,5291.79
商品19,2017-02,331100,13.5,1163,5371.709999999999
商品19,2017-03,331100,16.0,1709,6836.0
商品19,2017-04,331100,19.32,2278,7173.85
商品19,2017-05,331100,11.5,1582,4592.5
商品19,2017-06,331100,8.16,2216,5945.24
商品19,2017-07,331100,8.34,1485,4069.2299999999996
商品19,2017-08,331100,10.33,1038,3848.02
商品19,2017-09,331100,10.0,2582,8624.2
商品19,2017-10,331100,9.6,1854,6186.18
商品19,2017-11,331100,10.17,1355,4625.66
商品19,2017-12,331100,9.83,1265,4185.25
商品19,2018-01,331100,10.34,2176,7477.639999999999
商品19,2018-02,331100,15.5,735,3933.89
商品19,2018-03,331100,12.5,1852,7463.5599999999995
商品19,2018-04,331100,10.33,1762,5855.66
商品19,2018-05,331100,8.16,2078,5583.41
商品19,2018-06,331100,8.33,1126,2978.6800000000003
商品19,2018-07,331100,8.16,2017,5505.16
商品19,2018-08,331100,9.5,2503,8007.09
商品19,2018-09,331100,12.33,1512,6175.71
商品19,2018-10,331100,11.34,1232,4433.6
商品19,2018-11,331100,9.17,334,1015.26
商品19,2018-12,331100,12.33,1150,5088.24
商品19,2019-01,331100,15.5,1685,8859.22
商品19,2019-02,331100,20.16,1894,12597.6
商品19,2019-03,331100,11.33,669,3973.13
商品2,2016-12,331100,19.34,1286,12435.619999999999
商品2,2017-01,331100,29.67,1313,13121.09
商品2,2017-02,331100,30.66,1480,15020.44
商品2,2017-03,331100,40.0,1363,13630.0
商品2,2017-04,331100,60.0,3245,32450.0
商品2,2017-05,331100,39.34,1434,14133.75
商品2,2017-06,331100,27.990000000000002,1904,17764.32
商品2,2017-07,331100,27.990000000000002,2216,20675.28
商品2,2017-08,331100,31.66,681,7635.61
商品2,2017-09,331100,34.16,984,11189.18
商品2,2017-10,331100,33.99,1952,22116.16
商品2,2017-11,331100,33.99,1408,15952.640000000001
商品2,2017-12,331100,33.99,1878,21277.739999999998
商品2,2018-01,331100,34.67,1986,22942.02
商品2,2018-02,331100,34.67,1506,17384.620000000003
商品2,2018-03,331100,33.99,1952,22116.16
商品2,2018-04,331100,33.99,1731,19612.23
商品2,2018-05,331100,33.33,981,10814.1
商品2,2018-06,331100,32.67,1165,12668.810000000001
商品2,2018-07,331100,32.67,1842,19934.309999999998
商品2,2018-08,331100,33.0,1532,16852.0
商品2,2018-09,331100,33.99,726,8225.58
商品2,2018-10,331100,33.99,1119,12678.27
商品2,2018-11,331100,33.99,1606,18195.98
商品2,2018-12,331100,33.99,882,9993.060000000001
商品2,2019-01,331100,33.99,1388,15726.04
商品2,2019-02,331100,35.01,1156,13490.52
商品2,2019-03,331100,22.67,1378,15700.7
商品20,2017-01,331100,59.6,2659,31676.5
商品20,2017-02,331100,46.8,2369,27953.3
商品20,2017-03,331100,42.7,2899,30966.5
商品20,2017-04,331100,49.0,2796,27263.2
商品20,2017-05,331100,63.400000000000006,4340,39357.4
商品20,2017-06,331100,35.8,1929,17186.8
商品20,2017-07,331100,36.0,2678,24102.0
商品20,2017-08,331100,46.6,2061,19320.7
商品20,2017-09,331100,38.900000000000006,1674,16111.8
商品20,2017-10,331100,47.5,2465,23417.5
商品20,2017-11,331100,37.8,3115,29470.5
商品20,2017-12,331100,40.4,1022,10424.2
商品20,2018-01,331100,51.15,2133,21883.649999999998
商品20,2018-02,331100,39.0,2491,23825.8
商品20,2018-03,331100,30.1,2184,16595.0
商品20,2018-04,331100,28.5,2394,16990.2
商品20,2018-05,331100,35.4,2228,15406.5
商品20,2018-06,331100,31.1,1551,12058.5
商品20,2018-07,331100,40.8,3365,27642.6
商品20,2018-08,331100,39.0,910,8899.4
商品20,2018-09,331100,48.8,2466,30702.199999999997
商品20,2018-10,331100,68.0,1959,26560.0
商品20,2018-11,331100,52.0,2391,31850.0
商品20,2018-12,331100,46.0,651,7611.0
商品20,2019-01,331100,54.5,3326,36515.0
商品20,2019-02,331100,42.0,2058,21609.0
商品20,2019-03,331100,32.7,935,10274.7
商品21,2016-12,331100,18.33,1335,12327.18
