商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,331000,8.66,1123,4862.59
商品1,2017-01,331000,12.99,998,4321.34
商品1,2017-02,331000,12.99,1523,6594.59
商品1,2017-03,331000,17.32,2055,8898.15
商品1,2017-04,331000,25.98,3455,14960.150000000001
商品1,2017-05,331000,17.32,1050,4546.5
商品1,2017-06,331000,12.99,1244,5386.52
商品1,2017-07,331000,12.99,2523,10924.59
商品1,2017-08,331000,12.99,1623,7027.59
商品1,2017-09,331000,13.33,954,4235.71
商品1,2017-10,331000,13.5,1499,6745.5
商品1,2017-11,331000,13.5,1817,8176.5
商品1,2017-12,331000,13.5,1861,8374.5
商品1,2018-01,331000,13.5,1667,7501.5
商品1,2018-02,331000,13.5,1173,5278.5
商品1,2018-03,331000,13.5,511,2299.5
商品1,2018-04,331000,13.5,616,2772.0
商品1,2018-05,331000,13.5,1757,7906.5
商品1,2018-06,331000,13.5,1031,4639.5
商品1,2018-07,331000,13.5,551,2479.5
商品1,2018-08,331000,13.5,2151,9679.5
商品1,2018-09,331000,13.5,1282,5769.0
商品1,2018-10,331000,13.5,1225,5512.5
商品1,2018-11,331000,13.5,1694,7623.0
商品1,2018-12,331000,13.5,1120,5040.0
商品1,2019-01,331000,13.5,1821,8194.5
商品1,2019-02,331000,13.5,807,3631.5
商品1,2019-03,331000,9.0,966,4347.0
商品10,2016-12,331000,10.34,345,1783.65
商品10,2017-01,331000,17.34,962,5595.83
商品10,2017-02,331000,16.84,1755,9888.630000000001
商品10,2017-03,331000,23.67,1643,9713.130000000001
商品10,2017-04,331000,30.34,2602,13246.1
商品10,2017-05,331000,18.84,1827,9352.59
商品10,2017-06,331000,12.33,664,2605.2799999999997
商品10,2017-07,331000,15.5,2556,13156.82
商品10,2017-08,331000,17.17,1542,8667.58
商品10,2017-09,331000,16.83,730,4041.26
商品10,2017-10,331000,15.83,1686,8834.7
商品10,2017-11,331000,14.84,1646,8362.44
商品10,2017-12,331000,13.01,1621,6984.57
商品10,2018-01,331000,15.66,1928,10008.61
商品10,2018-02,331000,21.34,1907,13614.779999999999
