商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330400,7.46,924,3446.52
商品1,2017-01,330400,11.19,1651,6158.23
商品1,2017-02,330400,11.19,1002,3737.46
商品1,2017-03,330400,14.92,1978,7377.9400000000005
商品1,2017-04,330400,22.38,2529,9433.17
商品1,2017-05,330400,16.0,1616,6464.0
商品1,2017-06,330400,11.66,913,3582.13
商品1,2017-07,330400,11.49,820,3140.6000000000004
商品1,2017-08,330400,12.0,1473,5892.0
商品1,2017-09,330400,11.93,1295,5130.16
商品1,2017-10,330400,12.0,1378,5512.0
商品1,2017-11,330400,12.0,1225,4900.0
商品1,2017-12,330400,12.17,1453,5912.13
商品1,2018-01,330400,12.51,1380,5754.599999999999
商品1,2018-02,330400,12.51,2327,9703.59
商品1,2018-03,330400,12.34,2266,9315.09
商品1,2018-04,330400,11.790000000000001,1437,5647.41
商品1,2018-05,330400,12.0,963,3852.0
商品1,2018-06,330400,12.0,1692,6768.0
商品1,2018-07,330400,11.61,1199,4640.13
商品1,2018-08,330400,11.57,1749,6740.950000000001
商品1,2018-09,330400,11.49,1079,4132.570000000001
商品1,2018-10,330400,11.66,1178,4639.41
商品1,2018-11,330400,11.370000000000001,1727,6549.37
商品1,2018-12,330400,11.31,1292,4870.84
商品1,2019-01,330400,11.31,319,1202.6299999999999
商品1,2019-02,330400,11.31,2080,7841.6
商品1,2019-03,330400,7.54,1373,5176.21
商品10,2016-12,330400,11.0,1605,8788.91
商品10,2017-01,330400,18.16,1722,10673.08
商品10,2017-02,330400,18.5,2796,17246.0
商品10,2017-03,330400,23.66,1863,10998.14
商品10,2017-04,330400,34.66,2742,15847.62
商品10,2017-05,330400,21.17,1890,10008.76
商品10,2017-06,330400,12.33,1392,5567.6
商品10,2017-07,330400,12.33,1820,7424.34
商品10,2017-08,330400,14.5,793,3944.5
商品10,2017-09,330400,13.17,1883,8366.53
商品10,2017-10,330400,12.33,550,2392.44
商品10,2017-11,330400,13.67,2395,10971.13
商品10,2017-12,330400,13.99,1899,8675.17
商品10,2018-01,330400,16.34,1221,6627.4
商品10,2018-02,330400,21.990000000000002,715,5390.95
商品10,2018-03,330400,22.0,2072,15124.369999999999
商品10,2018-04,330400,19.0,1987,12736.78
商品10,2018-05,330400,16.84,939,5194.42
商品10,2018-06,330400,14.67,659,3490.69
商品10,2018-07,330400,11.51,1501,5707.67
商品10,2018-08,330400,13.84,1439,6892.780000000001
商品10,2018-09,330400,15.17,1664,8673.4
商品10,2018-10,330400,14.83,1467,7259.01
商品10,2018-11,330400,12.5,1764,7369.58
商品10,2018-12,330400,12.67,1700,7206.6
商品10,2019-01,330400,17.17,933,5711.639999999999
商品10,2019-02,330400,22.0,1417,10290.83
商品10,2019-03,330400,18.67,852,8066.469999999999
商品11,2016-12,330400,35.34,967,17086.890000000003
