商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330200,9.23,1666,7686.67
商品1,2017-01,330200,13.89,1476,6833.88
商品1,2017-02,330200,13.89,2320,10741.6
商品1,2017-03,330200,18.52,2598,12028.74
商品1,2017-04,330200,27.78,2053,9505.39
商品1,2017-05,330200,18.689999999999998,1682,7810.61
商品1,2017-06,330200,14.399999999999999,1754,8419.2
商品1,2017-07,330200,14.43,1638,7874.129999999999
商品1,2017-08,330200,14.4,1195,5731.07
商品1,2017-09,330200,14.440000000000001,2467,11878.12
商品1,2017-10,330200,14.100000000000001,1602,7529.4
商品1,2017-11,330200,14.100000000000001,2185,10269.5
商品1,2017-12,330200,14.100000000000001,1278,6006.6
商品1,2018-01,330200,14.100000000000001,1774,8337.800000000001
商品1,2018-02,330200,13.11,1577,6891.49
商品1,2018-03,330200,13.59,981,4443.93
商品1,2018-04,330200,13.59,1761,7977.33
商品1,2018-05,330200,13.899999999999999,1414,6544.999999999999
商品1,2018-06,330200,13.799999999999999,1202,5529.2
商品1,2018-07,330200,13.799999999999999,1403,6453.799999999999
商品1,2018-08,330200,13.799999999999999,1765,8118.999999999999
商品1,2018-09,330200,13.71,1415,6466.550000000001
商品1,2018-10,330200,13.57,1787,8090.5
商品1,2018-11,330200,13.5,1696,7632.0
商品1,2018-12,330200,13.5,1230,5535.0
商品1,2019-01,330200,13.77,1067,4894.01
商品1,2019-02,330200,13.89,1416,6556.08
商品1,2019-03,330200,9.26,965,4467.95
商品10,2016-12,330200,12.46,639,3980.9700000000003
商品10,2017-01,330200,19.57,1188,7827.32
商品10,2017-02,330200,19.8,2245,14812.49
商品10,2017-03,330200,27.0,2267,15240.42
商品10,2017-04,330200,36.88,3526,21771.170000000002
商品10,2017-05,330200,21.18,2169,11523.93
商品10,2017-06,330200,13.629999999999999,1472,6507.08
商品10,2017-07,330200,14.23,1866,8866.400000000001
商品10,2017-08,330200,15.530000000000001,2324,12020.91
商品10,2017-09,330200,18.3,1591,9746.19
商品10,2017-10,330200,18.130000000000003,1312,7730.310000000001
商品10,2017-11,330200,18.43,1703,10449.16
商品10,2017-12,330200,18.2,2014,12191.6
商品10,2018-01,330200,17.490000000000002,1598,9316.34
商品10,2018-02,330200,21.43,1957,14042.15
商品10,2018-03,330200,24.5,1970,16023.9
商品10,2018-04,330200,24.93,1225,10218.79
商品10,2018-05,330200,17.2,2434,13696.9
商品10,2018-06,330200,16.84,863,4829.7
商品10,2018-07,330200,17.9,966,5709.42
商品10,2018-08,330200,16.23,1584,8425.140000000001
商品10,2018-09,330200,21.14,1653,11604.32
商品10,2018-10,330200,21.83,1707,12376.79
商品10,2018-11,330200,21.46,1939,13668.880000000001
商品10,2018-12,330200,20.130000000000003,687,4830.11
商品10,2019-01,330200,22.369999999999997,930,6784.049999999999
商品10,2019-02,330200,25.799999999999997,1653,14215.8
商品10,2019-03,330200,17.34,1954,16941.18
商品11,2016-12,330200,32.17,1206,19406.61
商品11,2017-01,330200,49.010000000000005,1634,26897.280000000002
商品11,2017-02,330200,50.0,1880,31467.25
商品11,2017-03,330200,66.0,2389,39418.5
商品11,2017-04,330200,97.66,2261,36841.969999999994
商品11,2017-05,330200,63.07,1920,30251.219999999998
商品11,2017-06,330200,47.230000000000004,1142,18029.96
商品11,2017-07,330200,46.43,2249,34811.2
商品11,2017-08,330200,45.730000000000004,1863,28328.16
商品11,2017-09,330200,45.17,1170,17610.69
商品11,2017-10,330200,45.67,539,8195.35
商品11,2017-11,330200,46.16,2154,33062.3
商品11,2017-12,330200,46.09,2322,35664.56
商品11,2018-01,330200,46.17,2087,32204.62
商品11,2018-02,330200,46.34,1364,21207.98
商品11,2018-03,330200,45.0,985,14775.0
商品11,2018-04,330200,45.16,1129,16988.96
商品11,2018-05,330200,44.49,836,12397.880000000001
商品11,2018-06,330200,44.2,786,11569.970000000001
商品11,2018-07,330200,43.43,1872,27089.239999999998
商品11,2018-08,330200,44.67,1172,17531.98
商品11,2018-09,330200,47.59,2589,41062.67
商品11,2018-10,330200,50.4,1203,20216.019999999997
商品11,2018-11,330200,49.4,1050,17379.71
商品11,2018-12,330200,46.13,1762,27051.78
商品11,2019-01,330200,45.99,1533,23500.89
商品11,2019-02,330200,45.6,2223,33835.31
商品11,2019-03,330200,30.27,1178,17829.449999999997
商品12,2016-12,330200,172.32999999999998,1523,131265.43
商品12,2017-01,330200,253.66,1746,147886.41999999998
商品12,2017-02,330200,249.0,1655,137365.0
商品12,2017-03,330200,326.68,2184,178367.28
商品12,2017-04,330200,489.34000000000003,3181,259463.49
商品12,2017-05,330200,324.33,1755,142237.83000000002
商品12,2017-06,330200,242.01,1396,112615.31999999999
商品12,2017-07,330200,240.99,2177,174878.40999999997
商品12,2017-08,330200,237.82999999999998,1015,80369.31
商品12,2017-09,330200,233.16,1589,123603.2
商品12,2017-10,330200,231.0,1399,107723.0
商品12,2017-11,330200,231.0,1194,91938.0
商品12,2017-12,330200,226.5,1467,110706.36
商品12,2018-01,330200,222.99,1381,102649.73000000001
商品12,2018-02,330200,222.67000000000002,1424,105668.0
商品12,2018-03,330200,222.99,1781,132381.72999999998
商品12,2018-04,330200,222.99,984,73140.72
商品12,2018-05,330200,220.99,2144,157631.52
商品12,2018-06,330200,219.99,2008,147246.63999999998
商品12,2018-07,330200,219.82999999999998,1269,92999.45
商品12,2018-08,330200,219.0,1071,78183.0
商品12,2018-09,330200,219.0,1873,136729.0
商品12,2018-10,330200,219.0,1704,124392.0
商品12,2018-11,330200,219.0,1918,140014.0
商品12,2018-12,330200,219.0,1933,141109.0
商品12,2019-01,330200,219.0,1730,126290.0
商品12,2019-02,330200,219.0,1522,111106.0
商品12,2019-03,330200,147.0,233,17125.5
商品13,2016-12,330200,77.34,1742,67363.14
商品13,2017-01,330200,116.01,1443,55800.81
