商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330100,8.34,1538,6413.46
商品1,2017-01,330100,12.51,1303,5433.51
商品1,2017-02,330100,12.51,931,3882.27
商品1,2017-03,330100,17.0,2593,10955.69
商品1,2017-04,330100,25.619999999999997,3016,12878.32
商品1,2017-05,330100,17.08,2559,10926.929999999998
商品1,2017-06,330100,12.809999999999999,2249,9603.23
商品1,2017-07,330100,12.809999999999999,1767,7545.089999999998
商品1,2017-08,330100,12.93,1564,6743.38
商品1,2017-09,330100,12.809999999999999,2204,9411.079999999998
商品1,2017-10,330100,12.809999999999999,394,1682.3799999999997
商品1,2017-11,330100,13.209999999999999,1987,8717.689999999999
商品1,2017-12,330100,13.41,1583,7076.009999999999
商品1,2018-01,330100,13.5,1532,6894.0
商品1,2018-02,330100,13.5,1272,5724.0
商品1,2018-03,330100,13.41,1525,6816.75
商品1,2018-04,330100,13.41,1416,6329.5199999999995
商品1,2018-05,330100,13.44,1425,6386.73
商品1,2018-06,330100,13.530000000000001,1680,7587.63
商品1,2018-07,330100,13.5,924,4158.0
商品1,2018-08,330100,13.5,621,2794.5
商品1,2018-09,330100,13.5,1452,6534.0
商品1,2018-10,330100,13.5,1367,6151.5
商品1,2018-11,330100,13.5,759,3415.5
商品1,2018-12,330100,13.5,751,3379.5
商品1,2019-01,330100,13.5,531,2389.5
商品1,2019-02,330100,13.67,1204,5490.76
商品1,2019-03,330100,9.34,1872,8742.24
商品10,2016-12,330100,13.0,855,5417.93
商品10,2017-01,330100,18.34,1322,7990.48
商品10,2017-02,330100,19.0,642,4133.0
商品10,2017-03,330100,26.83,1995,13426.01
商品10,2017-04,330100,38.66,2725,17510.22
商品10,2017-05,330100,23.939999999999998,2242,13511.48
商品10,2017-06,330100,15.37,1665,8407.25
商品10,2017-07,330100,14.13,1209,5703.09
商品10,2017-08,330100,16.03,2041,10913.35
商品10,2017-09,330100,18.16,1537,8967.27
商品10,2017-10,330100,16.5,1878,10277.66
商品10,2017-11,330100,18.0,1470,8841.76
商品10,2017-12,330100,17.490000000000002,1067,6220.610000000001
商品10,2018-01,330100,18.17,1306,7928.18
商品10,2018-02,330100,25.66,1373,12905.900000000001
商品10,2018-03,330100,25.77,1894,16906.260000000002
商品10,2018-04,330100,22.299999999999997,1545,11380.93
商品10,2018-05,330100,17.0,1141,6360.52
商品10,2018-06,330100,19.5,2103,13581.720000000001
商品10,2018-07,330100,18.0,1562,9366.96
商品10,2018-08,330100,17.53,1981,11452.61
商品10,2018-09,330100,18.66,1948,12149.01
商品10,2018-10,330100,18.33,1340,8228.76
商品10,2018-11,330100,18.0,854,5122.68
商品10,2018-12,330100,18.0,1388,8151.0599999999995
商品10,2019-01,330100,22.5,1054,7437.74
商品10,2019-02,330100,31.66,949,10240.99
商品10,2019-03,330100,23.0,786,8913.88
商品11,2016-12,330100,34.66,957,16584.809999999998
商品11,2017-01,330100,52.16,2448,42579.729999999996
商品11,2017-02,330100,52.5,2609,45657.5
商品11,2017-03,330100,70.86,2537,45070.880000000005
商品11,2017-04,330100,107.58,3362,60280.659999999996
商品11,2017-05,330100,71.06,1600,28482.08
商品11,2017-06,330100,51.989999999999995,1904,32996.31999999999
商品11,2017-07,330100,51.0,999,16983.0
商品11,2017-08,330100,51.0,1187,20179.0
商品11,2017-09,330100,51.33,592,10201.939999999999
商品11,2017-10,330100,52.33,1308,22751.62
商品11,2017-11,330100,51.0,2416,41072.0
商品11,2017-12,330100,51.0,1872,31824.0
商品11,2018-01,330100,51.0,931,15827.0
商品11,2018-02,330100,51.5,518,8947.5
商品11,2018-03,330100,52.5,1365,23887.5
商品11,2018-04,330100,48.67,1327,21504.31
商品11,2018-05,330100,48.510000000000005,1784,28847.280000000002
商品11,2018-06,330100,48.17,1636,26256.24
商品11,2018-07,330100,48.0,1459,23344.0
商品11,2018-08,330100,48.0,1791,28656.0
商品11,2018-09,330100,49.33,1238,20068.68
商品11,2018-10,330100,55.33,873,16119.73
商品11,2018-11,330100,52.5,1181,21099.84
商品11,2018-12,330100,50.489999999999995,1981,33340.229999999996
商品11,2019-01,330100,49.84,1999,33169.14
商品11,2019-02,330100,50.67,1478,24981.46
商品11,2019-03,330100,33.34,466,7768.22
商品12,2016-12,330100,128.0,1550,99200.0
商品12,2017-01,330100,192.0,1139,72896.0
商品12,2017-02,330100,192.0,1525,97600.0
商品12,2017-03,330100,252.66,2757,174641.03
商品12,2017-04,330100,371.34000000000003,2359,146166.92
商品12,2017-05,330100,247.01,1133,69882.67
商品12,2017-06,330100,186.0,1268,78616.0
商品12,2017-07,330100,186.0,1108,68696.0
商品12,2017-08,330100,188.01,1494,93628.98000000001
商品12,2017-09,330100,188.01,759,47566.53
商品12,2017-10,330100,188.01,1546,96887.82
商品12,2017-11,330100,186.01,1622,100790.74
商品12,2017-12,330100,188.34,2210,138685.16999999998
商品12,2018-01,330100,188.01,1834,114936.78
商品12,2018-02,330100,188.01,1442,90370.14
商品12,2018-03,330100,188.01,1523,95446.41
商品12,2018-04,330100,188.01,638,39983.46
商品12,2018-05,330100,188.01,1716,107541.72
商品12,2018-06,330100,187.32999999999998,1582,98826.38
商品12,2018-07,330100,186.99,1122,69934.26
商品12,2018-08,330100,186.99,545,33969.85
商品12,2018-09,330100,187.99,2509,156926.97
商品12,2018-10,330100,189.99,2177,137869.40999999997
商品12,2018-11,330100,189.99,1493,94551.69
商品12,2018-12,330100,189.99,1770,112094.09999999999
商品12,2019-01,330100,189.99,1621,102657.93
商品12,2019-02,330100,189.99,2071,131156.43
商品12,2019-03,330100,126.66,1570,99428.09999999999
商品13,2016-12,330100,85.0,766,32555.0
商品13,2017-01,330100,125.49,1570,65673.09999999999
商品13,2017-02,330100,114.83,1940,71497.58
商品13,2017-03,330100,164.68,2501,102966.17000000001
商品13,2017-04,330100,247.02,3628,149364.76
商品13,2017-05,330100,163.34,1762,71989.46
商品13,2017-06,330100,121.5,2122,85941.0
商品13,2017-07,330100,120.84,2279,91842.12000000001
商品13,2017-08,330100,121.5,670,27135.0
商品13,2017-09,330100,121.5,1875,75937.5
商品13,2017-10,330100,121.5,1023,41431.5
商品13,2017-11,330100,126.30000000000001,2096,88241.6
商品13,2017-12,330100,126.1,1326,55744.3
商品13,2018-01,330100,126.0,827,34734.0
商品13,2018-02,330100,127.0,1615,68669.0
商品13,2018-03,330100,126.0,1671,70182.0
商品13,2018-04,330100,126.0,1476,61992.0
商品13,2018-05,330100,126.0,1941,81522.0
商品13,2018-06,330100,124.66,1956,81471.95
商品13,2018-07,330100,123.99,2618,108201.93999999999
商品13,2018-08,330100,123.99,400,16532.0
商品13,2018-09,330100,124.66,2349,97511.63
