商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330300,7.66,719,2753.7700000000004
商品1,2017-01,330300,11.49,1440,5515.200000000001
商品1,2017-02,330300,11.49,1208,4626.64
商品1,2017-03,330300,15.32,1966,7529.780000000001
商品1,2017-04,330300,22.98,2061,7893.63
商品1,2017-05,330300,15.49,1723,6754.8099999999995
商品1,2017-06,330300,12.0,2532,10128.0
商品1,2017-07,330300,12.66,1552,6556.15
商品1,2017-08,330300,12.99,1569,6793.77
商品1,2017-09,330300,12.99,556,2407.4799999999996
商品1,2017-10,330300,12.99,821,3554.9300000000003
商品1,2017-11,330300,12.99,1713,7417.290000000001
商品1,2017-12,330300,12.66,2071,8804.74
商品1,2018-01,330300,12.34,1019,4104.22
商品1,2018-02,330300,13.17,1559,6858.09
商品1,2018-03,330300,13.5,2028,9126.0
商品1,2018-04,330300,13.5,1112,5004.0
商品1,2018-05,330300,13.5,2329,10480.5
商品1,2018-06,330300,13.0,1802,7871.54
商品1,2018-07,330300,13.67,1064,4906.32
商品1,2018-08,330300,14.01,1163,5431.21
商品1,2018-09,330300,14.01,786,3670.62
商品1,2018-10,330300,14.01,1482,6920.94
商品1,2018-11,330300,14.01,1384,6463.28
商品1,2018-12,330300,14.01,1301,6075.67
商品1,2019-01,330300,14.01,1177,5496.59
商品1,2019-02,330300,14.01,992,4632.639999999999
商品1,2019-03,330300,9.34,1493,6972.3099999999995
商品10,2016-12,330300,13.84,650,4587.0
商品10,2017-01,330300,18.66,1734,10847.189999999999
商品10,2017-02,330300,19.0,1288,8273.130000000001
商品10,2017-03,330300,26.0,2235,14316.0
商品10,2017-04,330300,40.68,3471,23800.68
商品10,2017-05,330300,25.34,2383,15583.05
商品10,2017-06,330300,14.33,2448,11837.7
商品10,2017-07,330300,15.51,1490,7475.799999999999
商品10,2017-08,330300,18.5,440,2720.5
商品10,2017-09,330300,18.33,2059,12572.51
商品10,2017-10,330300,18.17,1028,6250.62
商品10,2017-11,330300,19.33,903,5735.97
商品10,2017-12,330300,18.66,1425,8785.95
商品10,2018-01,330300,18.66,1063,6548.9400000000005
商品10,2018-02,330300,25.0,1270,10463.189999999999
商品10,2018-03,330300,24.5,2110,17302.77
商品10,2018-04,330300,21.67,1793,13149.23
商品10,2018-05,330300,19.83,1703,11051.21
商品10,2018-06,330300,17.33,416,2248.49
商品10,2018-07,330300,18.16,2137,13092.66
商品10,2018-08,330300,19.5,2513,16334.5
商品10,2018-09,330300,20.66,1237,8540.68
商品10,2018-10,330300,20.0,1618,10729.49
商品10,2018-11,330300,18.5,1542,9519.48
商品10,2018-12,330300,20.0,2436,16389.0
商品10,2019-01,330300,23.17,1251,9729.05
商品10,2019-02,330300,32.33,784,7607.400000000001
商品10,2019-03,330300,23.5,579,6784.61
商品11,2016-12,330300,36.0,1342,24156.0
商品11,2017-01,330300,53.0,1217,21687.97
商品11,2017-02,330300,52.83,798,13877.22
商品11,2017-03,330300,69.49,2626,45615.34
商品11,2017-04,330300,102.66,2340,39967.11
商品11,2017-05,330300,68.0,1226,21093.46
商品11,2017-06,330300,50.67,1049,17700.670000000002
商品11,2017-07,330300,49.67,2164,35878.04
商品11,2017-08,330300,50.67,2049,34710.57
商品11,2017-09,330300,51.17,1745,29564.29
商品11,2017-10,330300,50.67,2007,33630.93000000001
商品11,2017-11,330300,52.66,1179,20493.71
商品11,2017-12,330300,55.34,933,17083.440000000002
商品11,2018-01,330300,54.989999999999995,1444,26468.519999999997
商品11,2018-02,330300,55.67,2265,42041.73
商品11,2018-03,330300,54.33,1635,29686.55
商品11,2018-04,330300,48.33,912,14731.59
商品11,2018-05,330300,48.33,1159,18520.57
商品11,2018-06,330300,49.66,727,11983.8
商品11,2018-07,330300,49.67,825,13628.99
商品11,2018-08,330300,51.0,1956,33252.0
商品11,2018-09,330300,57.33,1340,24734.17
商品11,2018-10,330300,64.67,1212,26097.1
商品11,2018-11,330300,66.33,2277,50334.9
商品11,2018-12,330300,63.0,996,21013.31
商品11,2019-01,330300,61.0,1806,36278.0
商品11,2019-02,330300,65.01,1517,32873.39000000001
商品11,2019-03,330300,40.33,1123,22554.71
商品12,2016-12,330300,120.0,617,37020.0
商品12,2017-01,330300,180.0,1561,93660.0
商品12,2017-02,330300,180.0,2099,125940.0
商品12,2017-03,330300,240.0,2255,135300.0
商品12,2017-04,330300,360.0,3670,220200.0
商品12,2017-05,330300,240.0,2476,148560.0
商品12,2017-06,330300,180.0,1475,88500.0
商品12,2017-07,330300,180.0,1720,103200.0
商品12,2017-08,330300,180.0,1808,108480.0
商品12,2017-09,330300,180.0,1997,119820.0
商品12,2017-10,330300,180.0,2272,136320.0
商品12,2017-11,330300,180.0,1715,102900.0
商品12,2017-12,330300,180.0,737,44220.0
商品12,2018-01,330300,180.0,1625,97500.0
商品12,2018-02,330300,180.0,1983,118980.0
商品12,2018-03,330300,180.0,1338,80280.0
商品12,2018-04,330300,180.0,1484,89040.0
商品12,2018-05,330300,180.0,1338,80280.0
商品12,2018-06,330300,180.0,1833,109980.0
商品12,2018-07,330300,180.0,2344,140640.0
商品12,2018-08,330300,180.0,1883,112980.0
商品12,2018-09,330300,180.0,1400,84000.0
商品12,2018-10,330300,180.0,1804,108240.0
商品12,2018-11,330300,180.0,1462,87720.0
商品12,2018-12,330300,180.0,1719,103140.0
商品12,2019-01,330300,180.0,903,54180.0
商品12,2019-02,330300,180.0,1072,64320.0
