商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330500,7.0,686,2401.0
商品1,2017-01,330500,10.5,1919,6716.5
商品1,2017-02,330500,10.6,1480,5275.5
商品1,2017-03,330500,14.4,1359,4892.400000000001
商品1,2017-04,330500,21.6,3778,13600.800000000001
商品1,2017-05,330500,14.4,2393,8614.8
商品1,2017-06,330500,10.8,1507,5425.2
商品1,2017-07,330500,10.8,1470,5292.0
商品1,2017-08,330500,10.8,2303,8290.8
商品1,2017-09,330500,10.8,2265,8154.0
商品1,2017-10,330500,10.8,436,1569.6000000000001
商品1,2017-11,330500,10.8,2114,7610.400000000001
商品1,2017-12,330500,11.61,1240,4798.8
商品1,2018-01,330500,11.61,1577,6102.990000000001
商品1,2018-02,330500,11.61,2037,7883.1900000000005
商品1,2018-03,330500,11.61,469,1815.0300000000002
商品1,2018-04,330500,11.61,1330,5147.1
商品1,2018-05,330500,11.61,2050,7933.5
商品1,2018-06,330500,11.61,1114,4311.18
商品1,2018-07,330500,11.61,2198,8506.26
商品1,2018-08,330500,11.31,1658,6250.66
商品1,2018-09,330500,11.31,1392,5247.84
商品1,2018-10,330500,11.31,1283,4836.91
商品1,2018-11,330500,11.31,1256,4735.12
商品1,2018-12,330500,11.31,1297,4889.6900000000005
商品1,2019-01,330500,11.31,2113,7966.01
商品1,2019-02,330500,11.31,1466,5526.820000000001
商品1,2019-03,330500,7.54,212,799.24
商品10,2016-12,330500,11.17,840,4759.74
商品10,2017-01,330500,19.34,1027,6272.780000000001
商品10,2017-02,330500,22.5,1507,10998.58
商品10,2017-03,330500,25.990000000000002,2508,16514.15
商品10,2017-04,330500,36.34,3819,22958.27
商品10,2017-05,330500,20.009999999999998,2159,10666.59
商品10,2017-06,330500,11.83,1867,7415.8099999999995
商品10,2017-07,330500,11.34,2682,10168.65
商品10,2017-08,330500,14.0,1793,8595.18
商品10,2017-09,330500,14.49,1060,5119.799999999999
商品10,2017-10,330500,15.16,1952,10062.189999999999
商品10,2017-11,330500,15.5,957,4899.54
商品10,2017-12,330500,15.0,1127,5635.0
商品10,2018-01,330500,16.66,1240,6663.47
商品10,2018-02,330500,22.0,963,7423.62
商品10,2018-03,330500,21.83,1631,12139.1
商品10,2018-04,330500,18.0,949,5773.94
商品10,2018-05,330500,14.83,1588,7827.46
商品10,2018-06,330500,15.0,1585,7835.98
商品10,2018-07,330500,14.0,1322,6061.1
商品10,2018-08,330500,15.5,1413,7210.4
商品10,2018-09,330500,16.67,1143,6441.37
商品10,2018-10,330500,15.33,1960,10037.27
商品10,2018-11,330500,15.0,484,2420.0
商品10,2018-12,330500,16.0,1321,6966.99
商品10,2019-01,330500,19.009999999999998,1918,12259.560000000001
