商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330600,8.34,752,3135.8399999999997
商品1,2017-01,330600,12.83,670,2849.26
商品1,2017-02,330600,12.96,836,3604.5499999999997
商品1,2017-03,330600,17.29,2217,9574.32
商品1,2017-04,330600,25.98,2857,12370.81
商品1,2017-05,330600,17.490000000000002,763,3305.4900000000002
商品1,2017-06,330600,13.5,1502,6759.0
商品1,2017-07,330600,13.5,1243,5593.5
商品1,2017-08,330600,13.5,1021,4594.5
商品1,2017-09,330600,13.5,2010,9045.0
商品1,2017-10,330600,13.5,1065,4792.5
商品1,2017-11,330600,13.5,1947,8761.5
商品1,2017-12,330600,13.5,873,3928.5
商品1,2018-01,330600,14.01,2127,9933.09
商品1,2018-02,330600,14.01,1110,5183.700000000001
商品1,2018-03,330600,14.01,2378,11105.26
商品1,2018-04,330600,14.01,1607,7504.6900000000005
商品1,2018-05,330600,14.01,1347,6290.49
商品1,2018-06,330600,14.01,2152,10049.84
商品1,2018-07,330600,14.01,1497,6990.99
商品1,2018-08,330600,14.01,1566,7313.219999999999
商品1,2018-09,330600,14.01,1775,8289.25
商品1,2018-10,330600,14.01,1166,5445.219999999999
商品1,2018-11,330600,14.01,1166,5445.22
商品1,2018-12,330600,14.01,942,4399.139999999999
商品1,2019-01,330600,14.01,2113,9867.710000000001
商品1,2019-02,330600,14.49,1329,6419.07
商品1,2019-03,330600,9.66,978,4723.74
商品10,2016-12,330600,12.17,528,3221.21
商品10,2017-01,330600,18.5,1770,11033.7
商品10,2017-02,330600,20.16,1742,11424.599999999999
商品10,2017-03,330600,25.83,2967,19219.2
商品10,2017-04,330600,31.34,2321,12233.55
商品10,2017-05,330600,18.67,1585,7501.639999999999
商品10,2017-06,330600,10.01,2381,8004.77
商品10,2017-07,330600,12.17,1822,7197.68
商品10,2017-08,330600,14.17,1433,6468.43
商品10,2017-09,330600,13.67,2135,9794.67
商品10,2017-10,330600,14.67,1836,9112.72
商品10,2017-11,330600,15.16,1035,5154.49
商品10,2017-12,330600,15.5,1684,8604.7
商品10,2018-01,330600,17.17,739,4113.53
商品10,2018-02,330600,26.0,1503,12573.26
商品10,2018-03,330600,21.33,2173,15445.23
商品10,2018-04,330600,16.84,1754,10057.34
商品10,2018-05,330600,15.01,1892,9377.14
商品10,2018-06,330600,14.83,1673,7768.05
商品10,2018-07,330600,11.83,1155,4742.09
商品10,2018-08,330600,13.33,618,2650.84
商品10,2018-09,330600,14.17,902,4232.98
商品10,2018-10,330600,15.0,481,2465.1800000000003
商品10,2018-11,330600,14.49,1082,5226.06
商品10,2018-12,330600,16.16,688,3431.8599999999997
商品10,2019-01,330600,21.66,1156,7603.17
商品10,2019-02,330600,29.5,2015,19799.260000000002
商品10,2019-03,330600,18.5,1610,15134.420000000002
商品11,2016-12,330600,32.0,1139,18224.0
商品11,2017-01,330600,48.0,1876,30016.0
商品11,2017-02,330600,48.0,630,10080.0
商品11,2017-03,330600,62.66,2366,36852.34
商品11,2017-04,330600,91.66,3365,51521.77
商品11,2017-05,330600,59.67,2252,33677.7
商品11,2017-06,330600,43.17,1721,24819.53
商品11,2017-07,330600,42.34,1710,24076.34
商品11,2017-08,330600,42.0,1476,20664.0
商品11,2017-09,330600,42.0,1313,18382.0
商品11,2017-10,330600,42.0,2043,28602.0
商品11,2017-11,330600,42.0,1451,20314.0
商品11,2017-12,330600,42.17,1008,14130.02
商品11,2018-01,330600,44.01,1622,23794.739999999998
商品11,2018-02,330600,44.01,1396,20479.32
商品11,2018-03,330600,41.0,1409,19212.57
商品11,2018-04,330600,39.83,2230,29670.86
商品11,2018-05,330600,38.34,1946,24937.97
商品11,2018-06,330600,38.67,1443,18634.260000000002
商品11,2018-07,330600,38.33,1656,21132.079999999998
商品11,2018-08,330600,41.01,1484,20286.28
商品11,2018-09,330600,45.67,1628,24745.879999999997
商品11,2018-10,330600,48.67,823,13296.470000000001
商品11,2018-11,330600,46.17,1421,21677.03
商品11,2018-12,330600,45.83,1888,28881.6
商品11,2019-01,330600,47.01,1191,18662.97
商品11,2019-02,330600,46.67,1060,16005.6
商品11,2019-03,330600,29.67,1132,16911.69
商品12,2016-12,330600,120.0,1244,74640.0
商品12,2017-01,330600,186.0,385,23870.0
商品12,2017-02,330600,186.0,1637,101494.0
商品12,2017-03,330600,248.0,3022,187364.0
商品12,2017-04,330600,360.0,3613,215570.0
商品12,2017-05,330600,236.0,2556,150804.0
商品12,2017-06,330600,177.0,1274,75166.0
商品12,2017-07,330600,175.67000000000002,1882,109943.41
商品12,2017-08,330600,173.01,884,50980.28
