商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330900,10.0,684,3420.0
商品1,2017-01,330900,15.0,1659,8295.0
商品1,2017-02,330900,15.0,1509,7545.0
商品1,2017-03,330900,20.0,1573,7865.0
商品1,2017-04,330900,30.0,2974,14870.0
商品1,2017-05,330900,20.0,2020,10100.0
商品1,2017-06,330900,15.0,1316,6580.0
商品1,2017-07,330900,12.66,1786,7882.85
商品1,2017-08,330900,11.49,2634,10088.220000000001
商品1,2017-09,330900,11.49,1270,4864.1
商品1,2017-10,330900,11.49,937,3588.71
商品1,2017-11,330900,11.49,923,3535.09
商品1,2017-12,330900,11.49,1441,5519.030000000001
商品1,2018-01,330900,11.49,988,3784.04
商品1,2018-02,330900,11.49,1629,6239.07
商品1,2018-03,330900,11.49,1057,4048.31
商品1,2018-04,330900,11.49,711,2723.13
商品1,2018-05,330900,11.49,2769,10605.27
商品1,2018-06,330900,11.99,1404,5596.820000000001
商品1,2018-07,330900,12.99,1596,6910.68
商品1,2018-08,330900,12.99,1418,6139.9400000000005
商品1,2018-09,330900,12.99,2070,8963.1
商品1,2018-10,330900,13.33,1889,8344.27
商品1,2018-11,330900,14.01,1955,9129.85
商品1,2018-12,330900,14.01,882,4118.94
商品1,2019-01,330900,13.27,1184,5178.889999999999
商品1,2019-02,330900,12.899999999999999,1737,7469.1
商品1,2019-03,330900,8.6,1304,5607.2
商品10,2016-12,330900,13.0,1117,7387.83
商品10,2017-01,330900,18.84,1842,11611.599999999999
商品10,2017-02,330900,18.509999999999998,1889,11376.13
商品10,2017-03,330900,28.34,1700,12027.33
商品10,2017-04,330900,32.0,2425,13533.99
商品10,2017-05,330900,20.34,3013,15343.46
商品10,2017-06,330900,13.84,615,2868.48
商品10,2017-07,330900,14.17,2127,9933.79
商品10,2017-08,330900,18.0,1976,11887.0
商品10,2017-09,330900,17.67,1392,7576.16
商品10,2017-10,330900,16.34,2773,15012.029999999999
商品10,2017-11,330900,16.67,1584,8902.4
商品10,2017-12,330900,17.83,1083,6333.4400000000005
商品10,2018-01,330900,18.5,1113,6778.0
商品10,2018-02,330900,22.66,997,7692.85
商品10,2018-03,330900,20.0,1626,10794.77
商品10,2018-04,330900,18.67,2302,14149.01
商品10,2018-05,330900,16.33,1838,9981.5
商品10,2018-06,330900,19.34,1329,8468.84
商品10,2018-07,330900,16.83,2053,11562.93
商品10,2018-08,330900,17.84,1427,8505.46
商品10,2018-09,330900,17.33,406,2389.42
商品10,2018-10,330900,15.5,1101,5718.25
商品10,2018-11,330900,15.99,1720,9167.6
商品10,2018-12,330900,17.17,932,5186.15
商品10,2019-01,330900,19.5,1660,10557.24
商品10,2019-02,330900,23.66,2586,20516.83
商品10,2019-03,330900,20.34,498,4963.66
商品11,2016-12,330900,34.66,1220,21142.6
商品11,2017-01,330900,50.33,1791,30091.829999999994
商品11,2017-02,330900,47.67,2056,32634.97
商品11,2017-03,330900,63.01,573,8995.41
商品11,2017-04,330900,94.02,4076,63870.92
商品11,2017-05,330900,61.34,1702,26175.88
商品11,2017-06,330900,45.33,1988,30084.66
商品11,2017-07,330900,45.66,1961,29852.910000000003
商品11,2017-08,330900,45.0,1817,27255.0
商品11,2017-09,330900,45.33,1878,28360.739999999998
商品11,2017-10,330900,45.99,1989,30491.37
商品11,2017-11,330900,45.99,1855,28437.15
商品11,2017-12,330900,45.99,1636,25079.88
商品11,2018-01,330900,45.99,796,12202.68
商品11,2018-02,330900,46.67,1915,29874.43
商品11,2018-03,330900,45.16,1490,22153.65
商品11,2018-04,330900,43.49,1193,17198.690000000002
商品11,2018-05,330900,42.99,1123,16092.59
商品11,2018-06,330900,41.33,2208,30722.95
商品11,2018-07,330900,39.67,2318,30640.16
商品11,2018-08,330900,42.0,2270,31780.0
商品11,2018-09,330900,44.66,1651,24524.69
商品11,2018-10,330900,46.33,2407,37213.81
商品11,2018-11,330900,45.84,1649,25137.1
商品11,2018-12,330900,45.33,1403,21278.309999999998
商品11,2019-01,330900,44.33,636,9477.11
商品11,2019-02,330900,39.67,2022,26536.58
商品11,2019-03,330900,26.67,270,3538.14
商品12,2016-12,330900,103.2,951,49071.600000000006
商品12,2017-01,330900,154.8,1569,80960.40000000001
商品12,2017-02,330900,154.8,1657,85501.20000000001
商品12,2017-03,330900,206.4,1941,100155.6
商品12,2017-04,330900,309.6,2442,126007.2
商品12,2017-05,330900,206.4,1705,87978.0
商品12,2017-06,330900,154.8,1173,60526.799999999996
商品12,2017-07,330900,152.2,2043,103965.4
商品12,2017-08,330900,150.89999999999998,1090,54827.0
商品12,2017-09,330900,150.89999999999998,2000,100600.0
商品12,2017-10,330900,150.89999999999998,1282,64484.6
商品12,2017-11,330900,150.89999999999998,1242,62472.6
商品12,2017-12,330900,150.89999999999998,385,19365.5
商品12,2018-01,330900,150.89999999999998,482,24244.6
商品12,2018-02,330900,147.89999999999998,1057,52110.1
商品12,2018-03,330900,150.89999999999998,1527,76808.09999999999
商品12,2018-04,330900,150.89999999999998,1341,67452.29999999999
商品12,2018-05,330900,150.89999999999998,1758,88427.4
商品12,2018-06,330900,150.89999999999998,1690,85007.0
商品12,2018-07,330900,150.89999999999998,1492,75047.59999999999
商品12,2018-08,330900,150.89999999999998,1921,96626.29999999999
商品12,2018-09,330900,150.89999999999998,1276,64182.799999999996
商品12,2018-10,330900,150.89999999999998,1308,65792.4
商品12,2018-11,330900,150.89999999999998,1890,95067.0
商品12,2018-12,330900,150.89999999999998,1728,86918.4
商品12,2019-01,330900,150.89999999999998,1046,52613.799999999996
商品12,2019-02,330900,150.89999999999998,1691,85057.29999999999
商品12,2019-03,330900,100.6,1135,57090.5
商品13,2016-12,330900,81.34,1384,56287.280000000006
商品13,2017-01,330900,123.67,2582,106369.48000000001
商品13,2017-02,330900,123.99,551,22978.829999999998
商品13,2017-03,330900,162.0,2746,111225.23999999999
商品13,2017-04,330900,240.02,2410,96813.7
商品13,2017-05,330900,158.68,1810,71802.7
商品13,2017-06,330900,119.01,1634,64820.78
商品13,2017-07,330900,119.01,1992,79022.64
商品13,2017-08,330900,119.01,1371,54387.57000000001
商品13,2017-09,330900,119.01,2542,100841.14
商品13,2017-10,330900,119.01,1162,46096.54000000001
商品13,2017-11,330900,122.01,1091,44370.97
商品13,2017-12,330900,122.01,1581,64299.270000000004
商品13,2018-01,330900,125.01,1605,66880.35
商品13,2018-02,330900,129.32999999999998,2421,104266.35
商品13,2018-03,330900,125.67,1837,77059.29000000001
商品13,2018-04,330900,125.34,1888,78880.86
商品13,2018-05,330900,125.01,1133,47212.11
商品13,2018-06,330900,125.01,1830,76256.1
商品13,2018-07,330900,124.67,1207,50007.369999999995
商品13,2018-08,330900,123.66,983,40416.520000000004
商品13,2018-09,330900,123.0,1616,66256.0
商品13,2018-10,330900,129.99,1742,75480.85999999999
商品13,2018-11,330900,129.0,1767,75981.0
商品13,2018-12,330900,129.0,1300,55900.0
商品13,2019-01,330900,133.34,619,27579.71
商品13,2019-02,330900,136.32999999999998,1481,67617.65
商品13,2019-03,330900,85.67,850,36370.479999999996
商品16,2016-12,330900,9.5,975,4570.05
商品16,2017-01,330900,16.0,966,4887.41
商品16,2017-02,330900,16.67,1816,10050.56
商品16,2017-03,330900,20.17,1238,6329.0599999999995
商品16,2017-04,330900,26.66,2336,10510.64
商品16,2017-05,330900,17.32,1496,6477.68
商品16,2017-06,330900,11.99,1108,4332.64
商品16,2017-07,330900,12.83,1638,7023.18
商品16,2017-08,330900,14.0,1849,8931.529999999999
商品16,2017-09,330900,15.33,1207,6057.77
商品16,2017-10,330900,14.0,1797,8135.79
商品16,2017-11,330900,12.51,2377,9912.09
商品16,2017-12,330900,12.83,1682,7209.62
商品16,2018-01,330900,13.17,1920,8353.23
商品16,2018-02,330900,14.5,2232,10819.26
商品16,2018-03,330900,13.5,1996,9040.82
商品16,2018-04,330900,12.99,1202,5204.66
商品16,2018-05,330900,14.17,800,3782.08
商品16,2018-06,330900,12.49,1220,5102.6
商品16,2018-07,330900,11.0,906,3346.5
商品16,2018-08,330900,12.83,1185,4914.3
商品16,2018-09,330900,15.99,1481,7958.2300000000005
商品16,2018-10,330900,18.67,1414,8654.85
商品16,2018-11,330900,17.17,2185,12353.84
商品16,2018-12,330900,15.5,1380,7247.18
商品16,2019-01,330900,16.67,2407,13369.23
商品16,2019-02,330900,16.33,1199,6535.51
商品16,2019-03,330900,10.0,1458,7290.0
商品17,2016-12,330900,8.66,559,2420.4700000000003
商品17,2017-01,330900,15.34,1362,6429.7
商品17,2017-02,330900,16.990000000000002,1947,10996.01
商品17,2017-03,330900,20.0,1790,8950.0
商品17,2017-04,330900,27.34,3753,17069.89
商品17,2017-05,330900,17.33,1459,6420.95
商品17,2017-06,330900,11.17,1455,5297.5599999999995
商品17,2017-07,330900,12.84,2505,10846.58
商品17,2017-08,330900,13.67,1537,6974.47
商品17,2017-09,330900,14.83,2251,11139.57
商品17,2017-10,330900,14.5,1460,7087.58
商品17,2017-11,330900,12.66,1127,4701.71
商品17,2017-12,330900,12.5,961,4000.0
商品17,2018-01,330900,17.0,1621,9652.0
商品17,2018-02,330900,19.3,787,5061.0
商品17,2018-03,330900,17.17,2150,12376.720000000001
商品17,2018-04,330900,16.67,2059,11547.369999999999
商品17,2018-05,330900,15.0,1618,8090.0
商品17,2018-06,330900,14.17,2471,11645.3
商品17,2018-07,330900,14.17,1221,5741.23
商品17,2018-08,330900,15.0,1819,9136.58
商品17,2018-09,330900,17.67,805,4708.07
商品17,2018-10,330900,19.0,1444,8830.65
商品17,2018-11,330900,17.34,2064,11988.99
商品17,2018-12,330900,15.67,1906,9929.32
商品17,2019-01,330900,13.17,1535,6764.61
商品17,2019-02,330900,15.5,852,4474.65
商品17,2019-03,330900,12.0,1023,6138.0
商品18,2016-12,330900,15.0,597,4477.5
商品18,2017-01,330900,22.5,2162,16215.0
商品18,2017-02,330900,22.17,2171,16032.36
商品18,2017-03,330900,29.009999999999998,1772,12708.210000000001
商品18,2017-04,330900,43.019999999999996,3402,24392.34
商品18,2017-05,330900,30.0,2978,22335.0
商品18,2017-06,330900,22.5,939,7042.5
商品18,2017-07,330900,22.5,2075,15562.5
商品18,2017-08,330900,22.33,601,4503.08
商品18,2017-09,330900,22.33,2177,16205.27
商品18,2017-10,330900,21.990000000000002,810,5937.3
商品18,2017-11,330900,22.5,1010,7575.0
商品18,2017-12,330900,22.84,1305,9872.84
商品18,2018-01,330900,22.34,1408,10353.14
商品18,2018-02,330900,22.509999999999998,1592,11712.64
商品18,2018-03,330900,23.009999999999998,1021,7831.07
商品18,2018-04,330900,23.17,746,5791.74
商品18,2018-05,330900,21.990000000000002,1534,11244.220000000001
商品18,2018-06,330900,21.990000000000002,1123,8231.59
商品18,2018-07,330900,21.990000000000002,1989,14579.369999999999
商品18,2018-08,330900,23.509999999999998,1462,11473.539999999999
商品18,2018-09,330900,24.509999999999998,1573,12851.41
商品18,2018-10,330900,24.509999999999998,1046,8545.82
商品18,2018-11,330900,24.5,1309,10510.06
商品18,2018-12,330900,25.17,1506,12504.0
商品18,2019-01,330900,24.84,1882,15657.76
商品18,2019-02,330900,24.509999999999998,1511,12344.869999999999
商品18,2019-03,330900,16.34,1766,14428.22
商品19,2016-12,330900,8.34,1307,5450.19
商品19,2017-01,330900,16.0,1000,4797.18
商品19,2017-02,330900,17.34,1144,6659.59
商品19,2017-03,330900,17.0,1691,7176.5
商品19,2017-04,330900,22.0,2836,10257.5
商品19,2017-05,330900,13.34,1159,3790.85
商品19,2017-06,330900,8.83,2041,6042.08
商品19,2017-07,330900,10.67,1431,5378.9400000000005
商品19,2017-08,330900,13.33,1484,6672.9
商品19,2017-09,330900,12.83,1860,8066.719999999999
商品19,2017-10,330900,11.17,435,1613.25
商品19,2017-11,330900,12.33,1951,8055.79
商品19,2017-12,330900,12.5,1662,6822.4
商品19,2018-01,330900,12.67,1159,4931.2699999999995
商品19,2018-02,330900,16.17,1587,8661.85
商品19,2018-03,330900,14.0,1541,7289.950000000001
商品19,2018-04,330900,13.33,2290,10133.64
商品19,2018-05,330900,11.83,1534,6016.49
商品19,2018-06,330900,10.67,976,3555.3999999999996
商品19,2018-07,330900,11.17,796,2839.55
商品19,2018-08,330900,14.17,1148,4959.78
