商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330800,8.66,768,3325.44
商品1,2017-01,330800,12.99,721,3121.93
商品1,2017-02,330800,12.99,1457,6308.8099999999995
商品1,2017-03,330800,17.32,2619,11340.27
商品1,2017-04,330800,25.98,2219,9608.27
商品1,2017-05,330800,17.32,1751,7581.83
商品1,2017-06,330800,12.99,1477,6395.410000000001
商品1,2017-07,330800,12.99,1689,7313.37
商品1,2017-08,330800,13.33,1006,4504.5599999999995
商品1,2017-09,330800,13.5,1684,7578.0
商品1,2017-10,330800,13.5,2173,9778.5
商品1,2017-11,330800,13.5,2097,9436.5
商品1,2017-12,330800,14.01,2105,9830.35
商品1,2018-01,330800,14.01,1381,6449.27
商品1,2018-02,330800,14.01,2182,10189.939999999999
商品1,2018-03,330800,14.01,1441,6729.469999999999
商品1,2018-04,330800,14.01,1212,5660.04
商品1,2018-05,330800,14.67,2154,10636.02
商品1,2018-06,330800,15.0,901,4505.0
商品1,2018-07,330800,15.0,781,3905.0
商品1,2018-08,330800,15.0,1204,6020.0
商品1,2018-09,330800,15.0,1962,9810.0
商品1,2018-10,330800,15.0,1770,8850.0
商品1,2018-11,330800,15.0,596,2980.0
商品1,2018-12,330800,15.0,1348,6740.0
商品1,2019-01,330800,15.0,2229,11145.0
商品1,2019-02,330800,15.0,937,4685.0
商品1,2019-03,330800,10.0,1310,6550.0
商品10,2016-12,330800,12.33,1042,6494.88
商品10,2017-01,330800,17.17,1821,10322.26
商品10,2017-02,330800,16.0,1704,9199.01
商品10,2017-03,330800,23.68,2429,14375.43
商品10,2017-04,330800,32.34,4123,22330.48
商品10,2017-05,330800,22.33,1285,7163.9
商品10,2017-06,330800,12.83,1475,6318.75
商品10,2017-07,330800,13.67,1118,5009.639999999999
商品10,2017-08,330800,14.5,1459,7143.79
商品10,2017-09,330800,13.67,1414,6432.1900000000005
商品10,2017-10,330800,15.17,932,4593.92
商品10,2017-11,330800,15.0,1411,7324.91
商品10,2017-12,330800,14.66,1457,7048.02
商品10,2018-01,330800,16.17,1785,9521.490000000002
商品10,2018-02,330800,21.0,1959,13977.0
商品10,2018-03,330800,16.84,1654,9391.970000000001
商品10,2018-04,330800,15.0,2464,12333.529999999999
商品10,2018-05,330800,13.17,1124,4842.32
商品10,2018-06,330800,13.84,1889,9022.98
商品10,2018-07,330800,11.0,830,3576.61
商品10,2018-08,330800,13.67,1840,8548.119999999999
商品10,2018-09,330800,14.66,1697,8211.54
商品10,2018-10,330800,14.66,2028,9878.54
商品10,2018-11,330800,14.83,1933,9568.27
商品10,2018-12,330800,16.5,668,3662.27
商品10,2019-01,330800,18.67,1113,6833.95
商品10,2019-02,330800,21.66,2349,16899.06
商品10,2019-03,330800,16.0,711,5580.75
商品11,2016-12,330800,38.0,1582,30058.0
商品11,2017-01,330800,58.34,1881,36652.21000000001
商品11,2017-02,330800,59.67,946,18836.510000000002
商品11,2017-03,330800,75.66,967,18787.77
商品11,2017-04,330800,109.32,2651,48344.34
商品11,2017-05,330800,71.34,2590,46155.36
商品11,2017-06,330800,52.33,986,17161.159999999996
商品11,2017-07,330800,51.989999999999995,1345,23308.85
商品11,2017-08,330800,53.66,1139,20432.61
商品11,2017-09,330800,55.33,1323,24481.449999999997
商品11,2017-10,330800,54.989999999999995,2108,38639.64
商品11,2017-11,330800,54.989999999999995,1628,29841.239999999998
商品11,2017-12,330800,55.66,1236,23047.83
商品11,2018-01,330800,57.010000000000005,1875,35428.25000000001
商品11,2018-02,330800,59.67,1103,21901.27
商品11,2018-03,330800,54.67,1707,31223.45
商品11,2018-04,330800,51.66,1276,21415.86
商品11,2018-05,330800,48.33,969,15513.9
商品11,2018-06,330800,47.67,1276,20223.28
商品11,2018-07,330800,50.33,1769,29365.78
商品11,2018-08,330800,57.66,974,18605.66
商品11,2018-09,330800,63.66,1002,21984.109999999997
商品11,2018-10,330800,68.67,1235,28312.27
商品11,2018-11,330800,67.01,1630,35512.100000000006
商品11,2018-12,330800,63.989999999999995,2006,42787.979999999996
商品11,2019-01,330800,63.989999999999995,1766,37668.78
商品11,2019-02,330800,67.67,2660,59944.51
商品11,2019-03,330800,42.0,1262,26550.18
商品12,2016-12,330800,132.0,1378,90948.0
商品12,2017-01,330800,198.0,1299,85734.0
商品12,2017-02,330800,198.0,2428,160248.0
商品12,2017-03,330800,264.0,2217,146322.0
商品12,2017-04,330800,396.0,4071,268686.0
商品12,2017-05,330800,264.0,2713,179058.0
商品12,2017-06,330800,198.0,1600,105600.0
商品12,2017-07,330800,198.0,1570,103620.0
商品12,2017-08,330800,201.32999999999998,2098,140770.97
商品12,2017-09,330800,204.0,1081,73508.0
商品12,2017-10,330800,204.0,1197,81396.0
商品12,2017-11,330800,203.32999999999998,1592,107679.79999999999
商品12,2017-12,330800,207.0,1996,137724.0
商品12,2018-01,330800,207.0,2112,145728.0
商品12,2018-02,330800,207.0,1478,101982.0
商品12,2018-03,330800,206.32999999999998,1168,80180.62
商品12,2018-04,330800,204.99,1516,103588.28
商品12,2018-05,330800,204.99,1946,132970.18
商品12,2018-06,330800,204.99,1204,82269.31999999999
商品12,2018-07,330800,207.67000000000002,1988,137976.0
商品12,2018-08,330800,209.01,1317,91755.39
商品12,2018-09,330800,210.99,890,62593.7
商品12,2018-10,330800,208.32999999999998,752,52672.7
商品12,2018-11,330800,207.0,1459,100671.0
商品12,2018-12,330800,207.0,1639,113091.0
商品12,2019-01,330800,212.01,1333,94203.11
商品12,2019-02,330800,212.01,1810,127912.70000000001
商品12,2019-03,330800,141.34,435,30741.45
商品13,2016-12,330800,78.66,819,32211.27
商品13,2017-01,330800,119.33,1590,62751.78
商品13,2017-02,330800,119.33,1337,52751.71
商品13,2017-03,330800,157.32,1553,61079.49
商品13,2017-04,330800,233.34,2984,116076.36
商品13,2017-05,330800,153.32,2261,86664.13
商品13,2017-06,330800,114.66,638,24334.42
商品13,2017-07,330800,114.0,1905,72390.0
商品13,2017-08,330800,114.0,848,32224.0
商品13,2017-09,330800,114.66,1400,53430.009999999995
商品13,2017-10,330800,115.67,1945,75056.07
商品13,2017-11,330800,116.01,1836,70998.12
商品13,2017-12,330800,116.01,1743,67401.81
商品13,2018-01,330800,117.33,1440,56314.44
商品13,2018-02,330800,127.33,2163,90987.68
商品13,2018-03,330800,119.34,1229,48893.43000000001
商品13,2018-04,330800,114.67,832,31962.39
商品13,2018-05,330800,114.0,2158,82004.0
商品13,2018-06,330800,114.0,1623,61674.0
商品13,2018-07,330800,114.0,1792,68096.0
商品13,2018-08,330800,114.0,1026,38988.0
商品13,2018-09,330800,114.67,1088,41519.54
商品13,2018-10,330800,121.33,1062,43451.82
商品13,2018-11,330800,123.0,1937,79417.0
商品13,2018-12,330800,123.0,1528,62648.0
商品13,2019-01,330800,127.33,1716,73261.43
商品13,2019-02,330800,133.67000000000002,304,13300.6
商品13,2019-03,330800,82.67,1852,76533.66
商品14,2016-12,330800,155.34,1823,141592.41
商品14,2017-01,330800,233.01,1793,139262.31
商品14,2017-02,330800,233.01,1286,99883.62
商品14,2017-03,330800,310.68,2059,159922.53
商品14,2017-04,330800,466.02,3594,279145.98
商品14,2017-05,330800,310.68,1819,141281.73
商品14,2017-06,330800,233.01,1471,114252.57
商品14,2017-07,330800,233.01,2594,201475.98
商品14,2017-08,330800,264.21,1880,163351.2
商品14,2017-09,330800,279.81,1225,114255.75
商品14,2017-10,330800,279.81,2075,193535.25
商品14,2017-11,330800,279.81,1315,122650.05
商品14,2017-12,330800,279.81,1791,167046.57
商品14,2018-01,330800,279.81,1829,170590.83
商品14,2018-02,330800,280.53999999999996,1456,136236.93
商品14,2018-03,330800,279.81,1556,145128.12
商品14,2018-04,330800,281.13,2597,243354.09000000003
商品14,2018-05,330800,261.13,1791,157702.36
商品14,2018-06,330800,258.81,2750,237242.5
商品14,2018-07,330800,258.81,905,78074.34999999999
商品14,2018-08,330800,258.81,1864,160807.28
商品14,2018-09,330800,258.81,1706,147176.62
商品14,2018-10,330800,256.14,1919,163143.78999999998
商品14,2018-11,330800,256.14,1101,94075.47
商品14,2018-12,330800,258.81,2271,195919.16999999998
商品14,2019-01,330800,258.81,1304,112496.07999999999
商品14,2019-02,330800,258.81,1819,156925.13
商品14,2019-03,330800,172.54,652,56248.04
商品15,2016-12,330800,68.67,1123,38509.630000000005
商品15,2017-01,330800,107.67,2226,79601.97
商品15,2017-02,330800,106.33,1520,52979.63
商品15,2017-03,330800,133.32999999999998,2137,71599.63
商品15,2017-04,330800,195.32,2537,82743.47
商品15,2017-05,330800,129.32,3242,104813.86
商品15,2017-06,330800,95.01,1002,31733.34
商品15,2017-07,330800,95.01,716,22675.72
商品15,2017-08,330800,96.33,1598,51398.020000000004
商品15,2017-09,330800,96.99,869,28094.769999999997
商品15,2017-10,330800,99.0,1702,56166.0
商品15,2017-11,330800,105.0,2615,91525.0
商品15,2017-12,330800,105.0,1020,35700.0
商品15,2018-01,330800,105.0,1175,41125.0
商品15,2018-02,330800,118.99,1420,56868.59999999999
商品15,2018-03,330800,104.0,765,26236.260000000002
商品15,2018-04,330800,101.01,1664,56026.880000000005
商品15,2018-05,330800,99.0,2368,78144.0
商品15,2018-06,330800,96.99,595,19236.35
商品15,2018-07,330800,96.99,1555,50273.149999999994
商品15,2018-08,330800,96.99,907,29323.309999999998
商品15,2018-09,330800,99.67,1798,60010.7
