商品主键,商品采价日期,商品采价地区编码,商品价格,商品销量,销售额
商品1,2016-12,330700,8.46,328,1387.44
商品1,2017-01,330700,12.57,1436,6027.0
商品1,2017-02,330700,12.51,729,3039.93
商品1,2017-03,330700,16.68,3038,12668.46
商品1,2017-04,330700,25.02,2922,12184.74
商品1,2017-05,330700,16.509999999999998,2024,8297.11
商品1,2017-06,330700,11.49,1434,5492.219999999999
商品1,2017-07,330700,11.59,1979,7609.57
商品1,2017-08,330700,12.0,1757,7028.0
商品1,2017-09,330700,12.0,2055,8220.0
商品1,2017-10,330700,12.2,1561,6331.299999999999
商品1,2017-11,330700,12.2,1906,7773.499999999999
商品1,2017-12,330700,12.44,1925,8021.37
商品1,2018-01,330700,12.51,1240,5170.799999999999
商品1,2018-02,330700,12.37,816,3349.87
商品1,2018-03,330700,12.0,1136,4544.0
商品1,2018-04,330700,12.2,1849,7495.2
商品1,2018-05,330700,12.1,887,3594.7999999999997
商品1,2018-06,330700,12.1,1458,5855.1
商品1,2018-07,330700,11.93,1099,4380.88
商品1,2018-08,330700,11.73,1661,6495.6900000000005
商品1,2018-09,330700,11.83,1237,4874.370000000001
商品1,2018-10,330700,12.21,1211,4928.77
商品1,2018-11,330700,11.790000000000001,1149,4515.57
商品1,2018-12,330700,11.790000000000001,1514,5950.02
商品1,2019-01,330700,11.790000000000001,1343,5277.990000000001
商品1,2019-02,330700,11.790000000000001,91,357.63000000000005
商品1,2019-03,330700,7.86,253,994.29
商品10,2016-12,330700,10.5,998,5160.9400000000005
商品10,2017-01,330700,18.5,1440,9478.349999999999
商品10,2017-02,330700,18.33,626,3518.88
商品10,2017-03,330700,28.34,1654,11515.83
商品10,2017-04,330700,34.32,1817,10247.380000000001
商品10,2017-05,330700,19.16,1241,5970.9400000000005
商品10,2017-06,330700,12.5,1563,6476.71
商品10,2017-07,330700,14.34,1143,5494.5599999999995
商品10,2017-08,330700,16.0,1051,5896.42
商品10,2017-09,330700,13.67,695,3174.9300000000003
商品10,2017-10,330700,15.66,816,4236.09
商品10,2017-11,330700,13.0,1241,5398.6900000000005
商品10,2017-12,330700,14.67,672,3349.43
商品10,2018-01,330700,17.67,1608,9338.31
商品10,2018-02,330700,27.0,1947,16158.79
商品10,2018-03,330700,21.0,1076,7532.0
商品10,2018-04,330700,16.0,2150,11516.27
商品10,2018-05,330700,13.17,2266,9994.380000000001
商品10,2018-06,330700,15.5,1620,8015.38
商品10,2018-07,330700,13.33,945,4189.01
商品10,2018-08,330700,14.67,1790,8751.34
商品10,2018-09,330700,16.17,1230,6552.46
商品10,2018-10,330700,16.84,1782,9969.4
商品10,2018-11,330700,14.5,1970,9480.59
商品10,2018-12,330700,16.009999999999998,2040,11164.8
商品10,2019-01,330700,20.17,1657,10557.57
商品10,2019-02,330700,30.33,1101,11423.59
商品10,2019-03,330700,21.0,863,8885.0
商品11,2016-12,330700,31.5,480,7574.88
商品11,2017-01,330700,48.66,1141,18825.1
商品11,2017-02,330700,48.83,1717,28178.76
商品11,2017-03,330700,63.32,1258,19914.14
商品11,2017-04,330700,94.34,2937,46193.99
商品11,2017-05,330700,62.0,1483,22956.75
商品11,2017-06,330700,45.17,1750,26279.41
商品11,2017-07,330700,44.5,1643,24390.97
商品11,2017-08,330700,44.49,1387,20569.21
商品11,2017-09,330700,45.0,1296,19440.0
商品11,2017-10,330700,45.33,1732,26279.97
商品11,2017-11,330700,45.0,1118,16770.0
商品11,2017-12,330700,44.99,2357,35387.31
商品11,2018-01,330700,44.33,1611,23749.370000000003
商品11,2018-02,330700,46.0,1986,30254.8
商品11,2018-03,330700,42.5,760,10672.67
商品11,2018-04,330700,38.67,1563,20012.760000000002
商品11,2018-05,330700,38.16,963,12153.33
商品11,2018-06,330700,38.33,1687,21544.38
商品11,2018-07,330700,39.83,1987,26288.25
商品11,2018-08,330700,41.01,1803,24647.010000000002
商品11,2018-09,330700,45.33,1250,19394.29
商品11,2018-10,330700,50.17,2234,37390.380000000005
商品11,2018-11,330700,49.16,2004,32816.1
商品11,2018-12,330700,48.989999999999995,613,10010.289999999999
商品11,2019-01,330700,48.5,2170,35120.64
商品11,2019-02,330700,48.16,1482,23790.87
商品11,2019-03,330700,31.66,438,6933.539999999999
商品12,2016-12,330700,136.34,725,49423.25
